cluster_id,model,stage_id,rank,peak_index_y,peak_index_x,peak_value,common_peak_fraction
Abell2744,C10,C10-S06,35,5,62,0.056103614272630525,0.7142857142857143
Abell2744,C10,C10-S06,36,51,35,0.05559462675542906,0.7142857142857143
Abell2744,C10,S13_P0,1,36,36,0.18583280961949034,0.8095238095238095
Abell2744,C10,S13_P0,2,30,33,0.17100774516258027,0.8095238095238095
Abell2744,C10,S13_P0,3,30,31,0.16802366512407518,0.8095238095238095
Abell2744,C10,S13_P0,4,33,31,0.1645210644193822,0.8095238095238095
Abell2744,C10,S13_P0,5,63,14,0.1107625490574102,0.8095238095238095
Abell2744,C10,S13_P0,6,30,63,0.08432365694020613,0.8095238095238095
Abell2744,C10,S13_P0,7,31,45,0.07300157120319063,0.8095238095238095
Abell2744,C10,S13_P0,8,63,11,0.072635725845243,0.8095238095238095
Abell2744,C10,S13_P0,9,29,38,0.06996567685884182,0.8095238095238095
Abell2744,C10,S13_P0,10,22,40,0.06979560862580958,0.8095238095238095
Abell2744,C10,S13_P0,11,63,33,0.06856299516499836,0.8095238095238095
Abell2744,C10,S13_P0,12,27,34,0.06823160220044514,0.8095238095238095
Abell2744,C10,S13_P0,13,16,32,0.06499118531315416,0.8095238095238095
Abell2744,C10,S13_P0,14,56,57,0.0648205505902187,0.8095238095238095
Abell2744,C10,S13_P0,15,53,8,0.06295994713481984,0.8095238095238095
Abell2744,C10,S13_P0,16,63,29,0.06293541416902088,0.8095238095238095
Abell2744,C10,S13_P0,17,63,8,0.0626894722043231,0.8095238095238095
Abell2744,C10,S13_P0,18,53,35,0.06252621882985737,0.8095238095238095
Abell2744,C10,S13_P0,19,63,55,0.0606153436541168,0.8095238095238095
Abell2744,C10,S13_P0,20,54,63,0.05969821976811933,0.8095238095238095
Abell2744,C10,S13_P0,21,46,34,0.05914445556183461,0.8095238095238095
Abell2744,C10,S13_P0,22,15,24,0.05907490416721779,0.8095238095238095
Abell2744,C10,S13_P0,23,25,8,0.0581636884477536,0.8095238095238095
Abell2744,C10,S13_P0,24,14,42,0.05754754875619373,0.8095238095238095
Abell2744,C10,S13_P0,25,14,34,0.05726360229426292,0.8095238095238095
Abell2744,C10,S13_P0,26,6,45,0.05691675151664543,0.8095238095238095
Abell2744,C10,S13_P0,27,46,27,0.05661045299872765,0.8095238095238095
Abell2744,C10,S13_P0,28,27,8,0.05611298528977483,0.8095238095238095
Abell2744,C10,S13_P0,29,51,57,0.05473989775792756,0.8095238095238095
Abell2744,C10,S13_P0,30,47,59,0.05397131839522454,0.8095238095238095
Abell2744,C10,S13_P0,31,31,53,0.05392966493886903,0.8095238095238095
Abell2744,C10,S13_P0,32,19,63,0.053793253349760095,0.8095238095238095
Abell2744,C10,S13_P0,33,9,57,0.05302629833971787,0.8095238095238095
Abell2744,C10,S13_P3,1,30,31,0.0707851360897653,0.9047619047619048
Abell2744,C10,S13_P3,2,34,37,0.04907902285006023,0.9047619047619048
Abell2744,C10,S13_P3,3,32,33,0.046003263215362605,0.9047619047619048
Abell2744,C10,S13_P3,4,63,56,0.03732960962132717,0.9047619047619048
Abell2744,C10,S13_P3,5,63,9,0.036527719812157675,0.9047619047619048
Abell2744,C10,S13_P3,6,29,38,0.032005962389689266,0.9047619047619048
Abell2744,C10,S13_P3,7,31,46,0.030489084407098598,0.9047619047619048
Abell2744,C10,S13_P3,8,16,33,0.02908148165712616,0.9047619047619048
Abell2744,C10,S13_P3,9,14,31,0.02749312655273782,0.9047619047619048
Abell2744,C10,S13_P3,10,63,14,0.02550656779298075,0.9047619047619048
Abell2744,C10,S13_P3,11,63,33,0.024939155398175643,0.9047619047619048
Abell2744,C10,S13_P3,12,33,35,0.022890183973165994,0.9047619047619048
Abell2744,C10,S13_P3,13,57,34,0.022377829127945677,0.9047619047619048
Abell2744,C10,S13_P3,14,6,46,0.02195295369576554,0.9047619047619048
Abell2744,C10,S13_P3,15,33,39,0.021742623427335513,0.9047619047619048
Abell2744,C10,S13_P3,16,26,32,0.021704666059707747,0.9047619047619048
Abell2744,C10,S13_P3,17,34,33,0.021387968831828218,0.9047619047619048
Abell2744,C10,S13_P3,18,57,30,0.02135082427289813,0.9047619047619048
Abell2744,C10,S13_P3,19,35,35,0.020625501040917364,0.9047619047619048
Abell2744,C10,S13_P3,20,49,37,0.020625287731392047,0.9047619047619048
Abell2744,C10,S13_P3,21,50,33,0.019518009190516602,0.9047619047619048
Abell2744,C10,S13_P3,22,40,33,0.019467796388601216,0.9047619047619048
Abell2744,C10,S13_P3,23,27,27,0.01941185096147961,0.9047619047619048
Abell2744,C10,S13_P3,24,34,47,0.01907109590704817,0.9047619047619048
Abell2744,C10,S13_P3,25,11,30,0.018943059658103986,0.9047619047619048
Abell2744,C10,S13_P3,26,36,16,0.01888086955881853,0.9047619047619048
Abell2744,C10,S13_P3,27,25,52,0.018863006235807063,0.9047619047619048
Abell2744,C10,S13_P3,28,52,36,0.018727476048034222,0.9047619047619048
Abell2744,C10,S13_P3,29,23,37,0.01855527844267548,0.9047619047619048
Abell2744,C10,S13_P3,30,13,33,0.01849504150005456,0.9047619047619048
Abell2744,C10,S13_P3,31,28,18,0.018365550132688216,0.9047619047619048
