cluster_id,model,stage_id,delta_r_vs_gr,delta_nrmse_vs_gr,delta_d_q_vs_gr,delta_d_p_vs_gr,stage_loss_score
AbellS1063,A8,A8-S09,0.12786981546047943,-2.8876952315459725e-06,-1.4210854715202004e-14,-1.2261205748409187,-0.43440068109452057
AbellS1063,A8,A8-S10,0.9224535534046086,-0.014927384104789443,-92.39152274395157,-4.418816677339603,-25.1287702547536
AbellS1063,A8,A8-S11,0.00022702619703007798,-2.373553530629624e-05,0.011830232323564616,-0.004878758119438054,0.0015049084701749885
AbellS1063,A8,A8-S12,-1.4039950536845378,0.016090554494397516,959.4548923084197,1.6999940535742368,241.69673928280662
Abell370,A8,S01,0.0,0.0,0.0,0.0,0.0
Abell370,A8,S02,-0.5051478654430268,0.0025225972375334527,103.47064856994784,-0.9704012996266598,26.130840332332706
Abell370,A8,A8-S03,0.4955035239209429,-0.001865346897938172,-102.97997885486103,1.0448032957260764,-25.979763750429164
Abell370,A8,A8-S04,1.692795896313104e-05,3.104245925908411e-05,-0.0034168449452340877,0.005289783091437572,0.0004590671924025111
Abell370,A8,A8-S05,0.008731117924951182,8.050232837460147e-05,-0.6848762384861354,0.03795947733661831,-0.1704401826302368
Abell370,A8,A8-S06,-0.0005873076681466305,3.4702615194268094e-05,0.03357095425478096,0.005268986072622717,0.010305968403796117
Abell370,A8,A8-S07,-0.8662264036059721,0.021100239364036266,96.48386060113997,4.742291633945975,26.17803952221847
Abell370,A8,A8-S08,-0.25121006278395847,4.104464204651714e-06,2.842170943040401e-14,1.0676374876021102,0.5181204608005443
Abell370,A8,A8-S09,0.25121006278395847,-4.897205908016566e-06,-2.842170943040401e-14,-1.2283819603557964,-0.5583067771743917
Abell370,A8,A8-S10,0.8631354013859753,-0.02115933179816086,-96.17332519620307,-4.6020788548435965,-26.06227624709718
Abell370,A8,A8-S11,0.000372129175543634,-3.3085708189078966e-05,-0.0166837660561443,-0.005152928693060943,-0.0058395742898922146
Abell370,A8,A8-S12,-1.4991555076786103,0.02277450559176418,448.3759968239714,1.6874979861350372,114.02072283660316
