cluster_id,stage_id,smoothing,norm_mode,pearson,spearman,ssim,amplitude_ratio,variance_ratio,sign_agreement,nrmse,mean_bias
MACS1149,S00,S1,N1,0.9982618100745626,0.9952922814513613,0.9983530238580255,1.0,1.0,0.97412109375,0.0048725164108267705,-8.380882793312949e-17
MACS1149,S00,S1,N2,0.9982618100745625,0.9952922814513613,0.9983690922446243,1.0,1.0009763901323123,0.97705078125,0.004871658841088622,0.00034105634350966
MACS1149,S01,S0,N0,0.9839995528365083,0.950823763713912,0.9859344188331299,0.9900802144858114,0.9692196874833005,0.748046875,0.009986752693616421,1.5643712564377714e-05
MACS1149,S01,S0,N1,0.9839995528365083,0.950823763713912,0.985894982979997,1.0,1.0,0.938720703125,0.009871008675618098,1.3422422895370545e-16
MACS1149,S01,S0,N2,0.9839995528365081,0.950823815576941,0.9860042691648309,1.0,0.9887385420232341,0.748046875,0.009911043091720277,-0.005195749649317733
MACS1149,S01,S1,N0,0.9982618100745623,0.9952922814513613,0.9983670505171901,0.9986065278987369,0.9981886684453843,0.97705078125,0.004877803548340962,1.5692603123900833e-05
MACS1149,S01,S1,N1,0.9982618100745626,0.9952922814513613,0.9983530238580255,1.0,1.0,0.97412109375,0.0048725164108267705,-1.5720931501039814e-17
MACS1149,S01,S1,N2,0.9982618100745625,0.9952922814513613,0.9983690922446243,0.9999999999999999,1.0009763901323123,0.97705078125,0.0048716588410886216,0.0003410563435096859
MACS1149,S02,S0,N0,0.9523254272114191,0.8449826298317763,0.24831088483494781,0.2353994316058569,0.06328289732681781,0.929931640625,0.25743392685865857,0.05500959317853616
MACS1149,S02,S0,N1,0.9523254272114192,0.8449852481289356,0.9578046254864592,1.0,1.0,0.8603515625,0.017533460113379935,-1.8084492237058214e-16
MACS1149,S02,S0,N2,0.9523254272114192,0.8449826298317763,0.9547456494183909,1.0,1.142024799384161,0.929931640625,0.017715173950514165,0.045687146446230134
MACS1149,S02,S1,N0,0.9857342890000762,0.9447978584487577,0.22869062295586964,0.2329282933381739,0.0670958778292623,1.0,0.4608152994004369,0.05498221630739486
MACS1149,S02,S1,N1,0.985734289000076,0.9447978584487577,0.9864638131079122,0.9999999999999999,0.9999999999999998,0.898681640625,0.014451577604743825,-9.454242944073599e-17
MACS1149,S02,S1,N2,0.9857342890000762,0.9447978584487577,0.9800080796323883,1.0,1.2366629508646239,1.0,0.01733070704742098,0.04432078585082448
MACS1149,C10-S03,S0,N0,0.13194059799481989,0.23438986879862064,0.001187560523131978,58.78762853237613,268.92530195778977,0.89599609375,0.8986372915943646,-0.7194655252898012
MACS1149,C10-S03,S0,N1,0.1319405979948199,0.23438986879862064,0.20614584532207347,1.0000000000000002,1.0000000000000002,0.535888671875,0.2503744773670736,4.128641872824801e-16
MACS1149,C10-S03,S0,N2,0.13194059799481994,0.23438986879862064,0.204936240425013,1.0,0.07781436582268007,0.89599609375,0.7405383180477153,-0.3158699473289994
MACS1149,C10-S03,S1,N0,0.32162905773759903,0.4431122408566842,0.003617875491384558,62.73405615229776,108.92295841500534,0.97802734375,1.5426344181127896,-0.7192453866278092
MACS1149,C10-S03,S1,N1,0.321629057737599,0.4431122408566842,0.35579562762553024,0.9999999999999999,0.9999999999999996,0.619384765625,0.21059583728112846,-9.08995101411847e-16
MACS1149,C10-S03,S1,N2,0.32162905773759903,0.4431122408566842,0.1925890744373039,1.0,0.027676597119750967,0.97802734375,1.1279560268222597,-0.27546441787452786
MACS1149,C10-S04,S0,N0,0.10867264154867379,0.1434359814086024,0.026780794475577043,1.3669353679604872,3.3252205376464152,0.511474609375,0.05026646531593398,0.0080500178374907
MACS1149,C10-S04,S0,N1,0.1086726415486738,0.1434359814086024,0.18486692840351918,1.0000000000000002,1.0000000000000002,0.572265625,0.05676244766683659,-8.326672684688674e-17
MACS1149,C10-S04,S0,N2,0.10867264154867383,0.1434359814086024,0.0173316993537147,1.0,1.7796085887814714,0.511474609375,0.057234316509757396,0.6428594821440741
MACS1149,C10-S04,S1,N0,0.06677096965536082,0.10856290773770408,0.011562577598817205,1.0565404759844201,2.301182878936157,0.527587890625,0.07318474404027121,0.00805903522398164
MACS1149,C10-S04,S1,N1,0.06677096965536078,0.10856290773770408,0.11377362395593797,1.0,0.9999999999999998,0.53173828125,0.0750779595830189,2.0816681711721685e-17
MACS1149,C10-S04,S1,N2,0.06677096965536079,0.10856290773770408,0.010778270132701773,1.0,2.061478715727584,0.527587890625,0.07516444580786213,0.6916312409114781
