cluster_id,model,stage_id,observable,integrated_abs_radial_difference,r_centre_max,r_centre_min
AbellS1063,A8,S00,,1.4791528969387817,0.12343112278451912,-3.960012930790936e-05
AbellS1063,A8,S01,,1.4791528969387817,0.12343112278451912,-3.960012930790936e-05
AbellS1063,A8,S02,,0.6386518310374324,0.6768042346372891,0.028350171692281243
AbellS1063,A8,A8-S03,,1.4822384425901687,0.11875579341166037,-0.00010535923773672662
AbellS1063,A8,A8-S04,,1.4824000035794542,0.11852919779608499,-0.00010632761433255351
AbellS1063,A8,A8-S05,,1.482928313024102,0.11817731962998915,-4.2405056924912915e-05
AbellS1063,A8,A8-S06,,1.4831050382833566,0.1179196837284,-4.460218475594142e-05
AbellS1063,A8,A8-S07,,1.8039543046795141,1.5237851692124636e-05,-5.76291469300448e-06
AbellS1063,A8,A8-S08,,1.8039793558820412,1.383099526321075e-06,-3.657084406109913e-06
AbellS1063,A8,A8-S09,,1.8039500744712906,1.889493609823455e-05,-7.146014219325555e-06
AbellS1063,A8,A8-S10,,1.4827525209314056,0.1182244407622425,-7.546489954424746e-05
AbellS1063,A8,A8-S11,,1.4825833778071353,0.11846655652082477,-7.388214733081977e-05
AbellS1063,A8,A8-S12,,1.812299980571469,0.0023331868227579183,-0.011156238644267995
AbellS1063,A8,A8-P5,,1.4827525209314056,0.1182244407622425,-7.546489954424746e-05
AbellS1063,A8,A8-P6,,1.8032668958432088,0.0006095140676849855,-0.00023051658772017916
AbellS1063,A8,S13_P0,,0.5738079380876813,0.5949667121913016,0.023654212146370715
AbellS1063,A8,S13_P3,,1.7984508421286727,0.006530460460192329,-0.0018103498514078574
AbellS1063,A8,S13_P4,,0.5713050128124385,0.5911009247381354,0.023115138836103097
AbellS1063,A8,S19,kappa,0.84515521845319,0.054833379964861845,-0.44439904484141346
