native_axis,native_source_z,native_source_y,native_source_x,native_dest_z,native_dest_y,native_dest_x,mapped_axis,mapped_source_z,mapped_source_y,mapped_source_x,mapped_dest_z,mapped_dest_y,mapped_dest_x,endpoint_swap,expected_sign,A_native,A_transformed_back,absolute_difference
yp,0,25,1,0,26,1,xp,0,1,25,0,1,26,False,1,1.2749367796865283e-05,1.3993290469539282e-05,1.2439226726739987e-06
yp,0,26,1,0,27,1,xp,0,1,26,0,1,27,False,1,1.468288233260815e-06,-5.060374992010897e-07,1.9743257324619045e-06
yp,0,27,1,0,28,1,xp,0,1,27,0,1,28,False,1,-1.4358251777882133e-05,-1.5069825646250974e-05,7.115738683688411e-07
yp,0,28,1,0,29,1,xp,0,1,28,0,1,29,False,1,-6.724237148320365e-06,-2.6771959113538045e-06,4.047041236966561e-06
yp,0,29,1,0,30,1,xp,0,1,29,0,1,30,False,1,4.68477121561813e-06,2.6710483448887874e-06,2.0137228707293424e-06
yp,0,30,1,0,31,1,xp,0,1,30,0,1,31,False,1,1.5428931513779043e-06,1.1713514242418875e-06,3.715417271360168e-07
yp,0,31,1,0,32,1,xp,0,1,31,0,1,32,False,1,-9.443616192496392e-06,-4.6050807723764954e-06,4.838535420119896e-06
yp,0,32,1,0,33,1,xp,0,1,32,0,1,33,False,1,-4.353364652993346e-06,-6.364251786815514e-06,2.0108871338221678e-06
yp,0,33,1,0,34,1,xp,0,1,33,0,1,34,False,1,2.2868310191957716e-06,-7.328499242375724e-07,3.019680943433344e-06
yp,0,34,1,0,35,1,xp,0,1,34,0,1,35,False,1,6.606330972467142e-06,2.647652590559067e-06,3.958678381908075e-06
yp,0,35,1,0,36,1,xp,0,1,35,0,1,36,False,1,6.676201586012085e-06,3.08831171592483e-06,3.587889870087255e-06
yp,0,36,1,0,37,1,xp,0,1,36,0,1,37,False,1,-9.930697134997464e-08,3.5377820711184488e-06,3.6370890424684233e-06
yp,0,37,1,0,38,1,xp,0,1,37,0,1,38,False,1,-1.0942339105017361e-05,-6.425824602878207e-06,4.516514502139154e-06
yp,0,38,1,0,39,1,xp,0,1,38,0,1,39,False,1,-3.38908900105235e-06,-4.502462071989734e-06,1.113373070937384e-06
yp,0,39,1,0,40,1,xp,0,1,39,0,1,40,False,1,1.2809367331928648e-06,-2.0006284205723903e-06,3.281565153765255e-06
yp,0,40,1,0,41,1,xp,0,1,40,0,1,41,False,1,9.653373982015845e-07,1.6542876295892358e-06,6.889502313876513e-07
yp,0,41,1,0,42,1,xp,0,1,41,0,1,42,False,1,-2.006594939845183e-06,1.255543200285144e-06,3.262138140130327e-06
yp,0,42,1,0,43,1,xp,0,1,42,0,1,43,False,1,2.13108273368715e-06,-3.508995384058095e-06,5.6400781177452456e-06
yp,0,43,1,0,44,1,xp,0,1,43,0,1,44,False,1,-3.6381737466678664e-06,-4.670957825797592e-06,1.0327840791297257e-06
yp,0,44,1,0,45,1,xp,0,1,44,0,1,45,False,1,-5.021010803727731e-06,9.118021352270041e-07,5.932812938954735e-06
yp,0,45,1,0,46,1,xp,0,1,45,0,1,46,False,1,3.7575334345569817e-06,-2.1083223743719943e-06,5.865855808928976e-06
yp,0,46,1,0,47,1,xp,0,1,46,0,1,47,False,1,-3.446761870824254e-07,8.349177885967042e-07,1.1795939756791296e-06
yp,0,47,1,0,48,1,xp,0,1,47,0,1,48,False,1,-1.8117226907702518e-06,-1.5994687968914676e-06,2.122538938787842e-07
yp,0,48,1,0,49,1,xp,0,1,48,0,1,49,False,1,3.1195977150629774e-06,-2.0175038129060386e-06,5.1371015279690155e-06
yp,0,49,1,0,50,1,xp,0,1,49,0,1,50,False,1,9.934962257879643e-07,1.4033307390223346e-06,4.0983451323437023e-07
yp,0,50,1,0,51,1,xp,0,1,50,0,1,51,False,1,5.451294525636914e-07,1.6318451830085104e-06,1.0867157304448191e-06
yp,0,51,1,0,52,1,xp,0,1,51,0,1,52,False,1,2.099392148871761e-06,7.707491948404025e-06,5.608099799532264e-06
yp,0,52,1,0,53,1,xp,0,1,52,0,1,53,False,1,5.035227287637978e-06,5.665854513030056e-06,6.306272253920783e-07
yp,0,53,1,0,54,1,xp,0,1,53,0,1,54,False,1,2.7642300049279667e-06,5.849577538023645e-06,3.0853475330956786e-06
yp,0,54,1,0,55,1,xp,0,1,54,0,1,55,False,1,-2.9648500982345013e-06,-8.619077746784271e-06,5.65422764854977e-06
yp,0,55,1,0,56,1,xp,0,1,55,0,1,56,False,1,-3.605194735896001e-06,-9.629749270230952e-06,6.02455453433495e-06
yp,0,56,1,0,57,1,xp,0,1,56,0,1,57,False,1,-1.6853970031631174e-06,1.3955734944211164e-06,3.080970497584234e-06
yp,0,57,1,0,58,1,xp,0,1,57,0,1,58,False,1,8.124385848825133e-07,6.0295855347207286e-06,5.217146949838216e-06
yp,0,58,1,0,59,1,xp,0,1,58,0,1,59,False,1,5.578006124975447e-06,5.7405543402475485e-06,1.6254821527210152e-07
yp,0,59,1,0,60,1,xp,0,1,59,0,1,60,False,1,5.413447645076257e-07,6.0173513097580255e-06,5.4760065452504e-06
yp,0,60,1,0,61,1,xp,0,1,60,0,1,61,False,1,8.691438913270993e-06,5.206738077471464e-06,3.4847008357995292e-06
yp,0,61,1,0,62,1,xp,0,1,61,0,1,62,False,1,7.946769338216663e-06,4.045524930563932e-06,3.901244407652731e-06
yp,0,62,1,0,63,1,xp,0,1,62,0,1,63,False,1,5.677759463771137e-06,2.3301065960656892e-06,3.347652867705448e-06
yp,0,0,2,0,1,2,xp,0,2,0,0,2,1,False,1,-3.2591454572118653e-06,-5.1789146541522445e-06,1.9197691969403792e-06
yp,0,1,2,0,2,2,xp,0,2,1,0,2,2,False,1,-1.4398842474791675e-06,-5.774126985111625e-06,4.334242737632457e-06
yp,0,2,2,0,3,2,xp,0,2,2,0,2,3,False,1,1.5600525361290784e-06,-8.775244275652231e-07,2.4375769636943016e-06
yp,0,3,2,0,4,2,xp,0,2,3,0,2,4,False,1,-1.9443709233752585e-06,2.7474107422938497e-06,4.691781665669108e-06
yp,0,4,2,0,5,2,xp,0,2,4,0,2,5,False,1,4.20628750282613e-06,-5.319584217471807e-07,4.738245924573311e-06
yp,0,5,2,0,6,2,xp,0,2,5,0,2,6,False,1,2.4611371424727374e-06,6.857485415843859e-06,4.396348273371122e-06
yp,0,6,2,0,7,2,xp,0,2,6,0,2,7,False,1,-1.8237777911105205e-06,7.970254448729715e-07,2.620803235983492e-06
yp,0,7,2,0,8,2,xp,0,2,7,0,2,8,False,1,-2.675399803682873e-06,-1.984169028876184e-06,6.912307748066891e-07
yp,0,8,2,0,9,2,xp,0,2,8,0,2,9,False,1,-4.939919201020423e-06,-3.1160678196351925e-06,1.8238513813852307e-06
yp,0,9,2,0,10,2,xp,0,2,9,0,2,10,False,1,-4.857427754821042e-06,-2.566188265887688e-06,2.2912394889333535e-06
yp,0,10,2,0,11,2,xp,0,2,10,0,2,11,False,1,9.143451446859428e-07,-1.2431056429591284e-06,2.157450787645071e-06
yp,0,11,2,0,12,2,xp,0,2,11,0,2,12,False,1,4.173773606147929e-06,2.6906013697909343e-06,1.4831722363569949e-06
yp,0,12,2,0,13,2,xp,0,2,12,0,2,13,False,1,1.2602185788051951e-05,8.623041745451455e-06,3.9791440426004964e-06
yp,0,13,2,0,14,2,xp,0,2,13,0,2,14,False,1,2.3061936358860417e-06,3.5100036529767022e-06,1.2038100170906605e-06
yp,0,14,2,0,15,2,xp,0,2,14,0,2,15,False,1,-1.1943453720916807e-06,-4.101975297232274e-06,2.907629925140593e-06
yp,0,15,2,0,16,2,xp,0,2,15,0,2,16,False,1,-1.6701593192556572e-06,-8.138919479464e-06,6.468760160208343e-06
yp,0,16,2,0,17,2,xp,0,2,16,0,2,17,False,1,-6.586647303668702e-06,-5.648400879726285e-06,9.382464239424166e-07
yp,0,17,2,0,18,2,xp,0,2,17,0,2,18,False,1,-6.021135102143386e-06,1.1678408739081659e-06,7.188975976051552e-06
yp,0,18,2,0,19,2,xp,0,2,18,0,2,19,False,1,3.7665152202421396e-06,6.6611769412634645e-06,2.894661721021325e-06
yp,0,19,2,0,20,2,xp,0,2,19,0,2,20,False,1,8.423981150481535e-06,8.461280294688495e-06,3.729914420696055e-08
yp,0,20,2,0,21,2,xp,0,2,20,0,2,21,False,1,7.69868148582609e-06,1.3754736405537036e-06,6.323207845272387e-06
yp,0,21,2,0,22,2,xp,0,2,21,0,2,22,False,1,-3.383554968053105e-06,-4.646817743094146e-06,1.2632627750410409e-06
yp,0,22,2,0,23,2,xp,0,2,22,0,2,23,False,1,-4.852793737372238e-06,-2.8177596692776062e-06,2.0350340680946317e-06
