launch,launch_label,nphotons,phase,n_cells,area_mean,area_std,area_cv,area_min,area_max,perimeter_mean,vertices_mean,A_mean,A_std,A_init_mean,A_fin_mean,A_ratio,n_triangles,quality_mean,quality_min,quality_max,quality_std,tri_area_mean,tri_area_std,cond_mean,cond_min,cond_max,cond_std,d_mean,d_std,degenerate
D,Jittered Cartesian grid (seed=123456),10000,initial,10000,0.009596436484782346,0.1568509201273143,16.344704659489214,0.00027474956537987906,7.372744649427002,0.2527319800390053,5.982158965620928,0.009596436484782346,0.1568509201273143,0.09711678078766636,nan,nan,19975,0.26465423025324886,4.4590480029853966e-05,0.33333089554786843,0.05906008307768892,0.000899504209074322,0.0004920589844422747,1.3668694507188608,1.0364353033247429,2.185785830585595,0.2276222208498898,0.07064132478448373,0.006708482322766691,False
D,Jittered Cartesian grid (seed=123456),10000,final,10000,0.009318904317657016,0.1092038700175212,11.71853109497078,0.00010724426646580156,4.063372225853046,0.2650760609699611,5.989573934837093,0.009318904317657016,0.1092038700175212,0.09711678078766636,0.09535148403493415,0.9818229482236257,19973,0.2612265086142171,9.370510979436045e-05,0.3333306583087604,0.061526650733302664,0.0009091712557877694,0.0007461250232699359,1.3888169274722388,1.01668014238848,2.2826582423938127,0.22557522264755028,0.07025153679332918,0.008548541887384846,False
D,Jittered Cartesian grid (seed=123456),20000,initial,19881,0.004616598402300093,0.09588999995160802,20.77070422756146,0.000145090909150044,6.2025388759559,0.1715691726241615,5.987153652392947,0.004616598402300093,0.09588999995160802,0.07750313457347008,nan,nan,39729,0.265865055543872,2.045496401980775e-06,0.3333327165742269,0.05722058417768766,0.00045264153008545745,0.0002456576651374389,1.3636994118378232,1.0256328210413261,2.358126655976822,0.26029705938159,0.049963406438214106,0.00445651894719265,False
D,Jittered Cartesian grid (seed=123456),20000,final,19881,0.004575545077919088,0.06906051914487335,15.093397173191304,8.50054366338907e-05,3.4352213420639437,0.17728438343860317,5.992594458438287,0.004575545077919088,0.06906051914487335,0.07750313457347008,0.08484903998556906,1.0947820427202894,39729,0.26239511052229003,6.817787468851706e-05,0.33333167879065995,0.06022952328533043,0.0004585931626503043,0.0005287712666722733,1.3888642049129214,1.0272376607694802,2.347629341838141,0.2626286393189271,0.049508835633446734,0.006075482018095354,False
E,Multi-resolution (dense central),2000,initial,2000,0.010837646794255612,0.01801836207678925,1.662571443677211,0.005854745344716767,0.49331708052679585,0.5325593336812661,4.112742527530152,0.010837646794255612,0.01801836207678925,0.030575235091495595,nan,nan,3905,0.24834626352892325,0.004138678831141226,0.3333174035229018,0.08921888350039307,0.0043523903609746254,0.0032377708661064926,61339491744216.77,1.1893411703957206,591014766500097.2,135561147309302.6,0.13439806123938894,0.03355771390983701,False
E,Multi-resolution (dense central),2000,final,2000,0.037065231442930335,0.15381475298345648,4.149839269728733,0.0026563368746793763,3.679425274285966,1.0534824849892153,5.91372351160444,0.037065231442930335,0.15381475298345648,0.030575235091495595,0.09121940284026067,2.983440767251306,3980,0.2503685887780879,2.1541327973449996e-06,0.3333328339747435,0.1004393638548522,0.00431432043172621,0.003393480606326021,774.721493299826,1.0494680347752021,24193.783034357977,2552.2517293902197,0.1462727870975647,0.030598377179298954,False
E,Multi-resolution (dense central),5000,initial,5000,0.004500034568808202,0.010222399183944589,2.2716268125584445,0.0013606767668624077,0.43924162257495736,0.3757025320923807,4.152357422277126,0.004500034568808202,0.010222399183944589,0.046153728466773375,nan,nan,9855,0.24480751391355302,0.0017629722056319787,0.331926991457669,0.0959975077802244,0.001755764710754926,0.0016771649880301365,32789364841141.305,1.0809774496982945,306061218366122.06,68656367796649.516,0.07942837114071682,0.011808325167410365,False
E,Multi-resolution (dense central),5000,final,5000,0.0167621537576628,0.09478429846212977,5.654661079504729,0.0008079660005626149,3.180533283964835,0.7450089788853613,5.938615847542628,0.0167621537576628,0.09478429846212977,0.046153728466773375,0.08799289926036595,1.9065176787117664,9983,0.24711839670023297,1.7598037489127136e-07,0.33329477687567755,0.10761311571347809,0.0017518058119384635,0.0018486375860271497,2582.0328848294835,1.0222935282022119,171990.1204814875,15058.502179832733,0.08793762385627868,0.012166698526529277,False
E,Multi-resolution (dense central),10000,initial,10000,0.0023173707139341328,0.006389113262532138,2.7570527339950397,0.00046778208562920666,0.3881756673078989,0.29884286946234156,4.15038430420712,0.0023173707139341328,0.006389113262532138,0.05329071431058512,nan,nan,19886,0.24159749814121229,3.0720822512345814e-05,0.33271956634809524,0.10133241926087447,0.0008826932847438874,0.0009607197344626223,18793527600019.207,1.0671307701947654,156584730818082.34,40330685820966.82,0.053914745833246715,0.005980254285041821,False
E,Multi-resolution (dense central),10000,final,10000,0.008288201270697638,0.061521283498211246,7.4227545264514125,0.0002520125690854466,2.948327857994441,0.5227922462264627,5.956116621581004,0.008288201270697638,0.061521283498211246,0.05329071431058512,0.0969857926922366,1.8199379375361897,19979,0.2485581484631667,8.036999630957292e-07,0.3333298691450468,0.11347011005848211,0.0008899874295495462,0.0012047409450589388,1382.6193279778263,1.0508637538275558,47020.41455219605,5828.753608324135,0.06040381568592879,0.00909687702809002,False
E,Multi-resolution (dense central),20000,initial,20000,0.0017705884693089548,0.025779979347597987,14.560119301838494,0.00028422616712463536,1.1556443556443603,0.24729803646877227,4.159707882145555,0.0017705884693089548,0.025779979347597987,0.06454303710602866,nan,nan,39853,0.23976796959117308,1.401031373171233e-05,0.3332496170550162,0.10530463527809843,0.0004417795820878502,0.0005982740704038626,11628900378171.945,1.1999999999999773,92527340937958.02,24115360154347.168,0.036609233198489605,0.0043662134027932925,False
E,Multi-resolution (dense central),20000,final,20000,0.004260182962192685,0.04093817377478837,9.60948723050096,2.8525655503739242e-05,2.2814595023938753,0.3985527639993464,5.965313579258221,0.004260182962192685,0.04093817377478837,0.06454303710602866,0.0954257106726286,1.4784818773846535,39977,0.24755510943500478,4.392930072314779e-08,0.3333298818640836,0.11666612726643748,0.00044510236816423175,0.0006969994567693572,2716118192828.6636,1.0123061138827827,60358182018818.98,12512500074339.053,0.04135192633960448,0.007604871641837904,False
