architecture_family,attenuation_log,attenuation_score,closest_ratio_value,closest_stable_ratio,cluster,cluster_id,coherence_length,dispersion_class,energy_final,energy_initial,group_velocity_normalized,helicity,laboratory_id,longitudinal_energy_fraction,longitudinal_score,mode_conversion_fraction,mode_stability,model,number_of_wave_modes,perturbation,phase_velocity_normalized,polarization_axis,polarization_like,propagating_score,relative_distance_to_3alpha,relative_distance_to_alpha,spatial_dimension,standing_score,transverse_1_energy_fraction,transverse_2_energy_fraction,transverse_score
D11 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4946610576270584,,0.9879009245064786,,2,,0.0,,0.026681202498918255,0.0,inf,inf,,0.0,,,0.8938222234723266
D11 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4972195001501369,,0.988335417386905,,2,,0.0,,0.014167823111127187,0.0,inf,inf,,0.0,,,0.8925843725704431
D11 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49807969378069455,,0.9923457932258645,,2,,0.0,,0.007955881248615015,0.0,inf,inf,,0.0,,,0.8435936339846487
D12 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49647121148688994,,0.9326490750721758,,2,,0.0,,0.0140774252655822,0.0,inf,inf,,0.0,,,0.9009269811633001
D12 (neighbour_assignment),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49524138568519616,,0.9299890656267196,,2,,0.0,,0.022274552560427097,0.0,inf,inf,,0.0,,,0.9242853461588615
D12 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4926120354781631,,0.9270861482451923,,2,,0.0,,0.03763047673087472,0.0,inf,inf,,0.0,,,0.950862024356946
D12 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49606177168550586,,0.9275635020643676,,2,,0.0,,0.02027503502503547,0.0,inf,inf,,0.0,,,0.9478639118436881
D12 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.49726902620906577,,0.9347726845431357,,2,,0.0,,0.011461570976508684,0.0,inf,inf,,0.0,,,0.8712463694196335
D13 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell2744,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4970871766121972,,0.9730201741007606,,2,,0.0,,0.011513133435617329,0.0,inf,inf,,0.0,,,0.8227461966548568
D13 (neighbour_assignment),,0.0,0.021892057707851405,3*alpha_fs,MACS0416,,7.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4960526086695107,,0.9700035099315861,,2,,0.0,,0.01831350314355673,0.0,inf,inf,,0.0,,,0.8502338439425559
D13 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,MACS1149,,4.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4938048321443588,,0.9651256669280115,,2,,0.0,,0.031227438314884504,0.0,inf,inf,,0.0,,,0.8790115815712051
D13 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,AbellS1063,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4967405148396868,,0.9657531927949509,,2,,0.0,,0.0166861243772084,0.0,inf,inf,,0.0,,,0.8766259346076687
D13 (neighbour_assignment),,0.0,0.014594705138567603,2*alpha_fs,Abell370,,3.0,broad,,,0.0,,PBUF MICROSTRUCTURE-ENTITY-A8-DECOMPOSITION-001,,0.4977611517846569,,0.9756151997403942,,2,,0.0,,0.009329382612395687,0.0,inf,inf,,0.0,,,0.786748540246421
