decomposition_number,decomposition_code,decomposition_name,family,principle,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,neighbour_coherence_gain,neighbour_coherence_final,elastic_persistence_index,elastic_persistence_activity,phase_field_coherence,phase_change_from_init,theta_change_from_init,relaxation_time,spatial_correlation_length,temporal_persistence_length,clusters_with_emergent_coherence
12,D12,Neighbour phase ignored / local only,phase,phi evolves with OMEGA drift only; no neighbour phase alignment,AbellS1063,Abell S1063,0.09809070974046341,0.08579003144034694,-0.03568754171355038,0.09782872427193588,0.1469073482152473,0.06388554187146478,-0.05395126781724674,-0.005040158371886447,0.24298201000783592,2.220446049250313e-16,0.0013154272816148977,0.9975323396003628,0.04126218292131908,0.2946044633728597,0.9816710565704773,0.9975323396003628,0.0003846047665207939,0.0026594947457807072,0.40000000000000036,0.39703298417336447,6.0,3.0,4.0,
13,D13,Neighbour orientation ignored / local only,orient,theta held at initial value; no neighbour alignment,AbellS1063,Abell S1063,0.09399181384635043,0.09639778409024705,-0.03375609640246936,0.10822384344530281,0.14630289963351795,0.06335459260892656,-0.05368419462896238,-0.00530859760631185,0.24254290899261832,2.220446049250313e-16,0.0012468555914331068,0.99774701835743,0.040808398093980125,0.2923877520758035,0.979454345273421,0.99774701835743,0.0003793704702265805,0.0023481062325898124,0.5837074388236095,0.0,6.0,3.0,4.0,
14,D14,Pure self-evolution (control vs WR4),control-wr4,"no neighbour contribution to theta, phi, or u relaxation",AbellS1063,Abell S1063,0.11296203947762853,0.07744036093383022,-0.05074852928908904,0.0861590557627328,0.1342903609514362,0.0693493525381196,-0.05523486621017504,-0.02201562054854891,0.24363206105772406,2.220446049250313e-16,0.0004150176419444834,1.0,0.04400521832054349,0.2961274584900797,0.9831940516876972,1.0,0.0003960469648848915,-0.0011603374215391573,0.40000000000000036,0.0,6.0,3.0,5.0,
1,D1,Full S9 (Control),both,Complete coupled phase + orientation microscopic state,Abell370,Abell 370,0.2039763982647816,0.1265008530801746,-0.027854098583352787,0.14444034359270058,0.16937529616696367,0.08353371141809102,-0.0646402639099357,-0.01538205236101798,0.24729852098971605,2.220446049250313e-16,0.0021661336656330736,0.9980274815302298,0.04177687089104649,0.19309486332533587,0.9870090687144805,0.9980274815302298,0.0003874555429320782,0.0007804070294651873,0.646544074622083,0.5013412316556719,6.0,3.0,4.0,
2,D2,Phase frozen / Orientation evolves,orient,phi held at initial value; theta evolves,Abell370,Abell 370,0.20033527917985178,0.13635027904865407,-0.02760342369578511,0.15336443525427856,0.16945242445228506,0.08326651750047313,-0.06467654074024973,-0.01574589862610214,0.2481865230947733,2.220446049250313e-16,0.002927253125089942,0.9977909560604449,0.041188372968230844,0.19120054329007086,0.9851147486792154,0.9977909560604449,0.00038311481626981226,0.0006697498600423782,0.0,0.5013412316556719,6.0,3.0,4.0,
3,D3,Orientation frozen / Phase evolves,phase,theta held at initial value; phi evolves,Abell370,Abell 370,0.20016680027442993,0.13570767005872916,-0.0276245550436167,0.15276720525645102,0.16949881548255988,0.08325033068907656,-0.06468571682123181,-0.015694922422031302,0.24776955298148096,2.220446049250313e-16,0.0028534211572628903,0.997749806745504,0.04117826099245209,0.191182609667503,0.9850968150566476,0.997749806745504,0.00038303850844799994,0.0007638175050089422,0.646544074622083,0.0,6.0,3.0,4.0,
4,D4,Phase evolution disabled / Orientation active,orient,phi snapped to neighbour target each step (no dt smoothing); theta evolves,Abell370,Abell 370,0.20184807524516366,0.13108100422080046,-0.024910951989629615,0.14877591432393655,0.1701128599443374,0.08333680463346534,-0.06416660956174779,-0.0149821770971708,0.24719649006146938,2.220446049250313e-16,0.0025104158661154647,0.9973790780085898,0.04183217640607111,0.1930071416591792,0.9869213470483238,0.9973790780085898,0.0003909861932577193,0.0009767271115283247,1.001506820124538,0.5013412316556719,6.0,3.0,4.0,
5,D5,Orientation evolution disabled / Phase active,phase,theta snapped to neighbour target each step (no dt smoothing); phi evolves,Abell370,Abell 370,0.20196884698107848,0.13011008754011155,-0.025131206228581397,0.14791042162043333,0.17021041717659743,0.08339857817650755,-0.06420703284335133,-0.014970970979554953,0.24727073102258146,2.220446049250313e-16,0.0025828245326985164,0.9973491211249595,0.04182035273865144,0.19298222939755694,0.9868964347867015,0.9973491211249595,0.00039090245417913597,0.0012515221470473768,0.646544074622083,1.001506820124538,6.0,3.0,4.0,
6,D6,Phase-Orientation coupling removed,both,both evolve; u update modulation becomes additive (no multiplicative coupling),Abell370,Abell 370,0.20152283711009772,0.1306797024996267,-0.024963117397057415,0.1484170102106342,0.1701813332819379,0.08338066595269879,-0.0641845201821914,-0.015013667680668252,0.24537139700260013,2.220446049250313e-16,0.0024685057982469505,0.9975589243192409,0.041827399177666764,0.19300797968664307,0.9869221850757877,0.9975589243192409,0.0003908393248882805,0.0010867377176856919,0.646544074622083,0.5013412316556719,6.0,3.0,4.0,
7,D7,Phase drives Orientation only,orient-drives,theta target = phi (no neighbour theta target); phi evolves normally,Abell370,Abell 370,0.2040568932799976,0.1347444658639686,-0.02335804617643105,0.15167959633631323,0.16873815216976018,0.0831534654272256,-0.06380966140375552,-0.015906202824488114,0.2453591669909656,2.220446049250313e-16,0.004215117371668659,0.9972891097681016,0.041328937106841025,0.19169563509903798,0.9856098404881826,0.9972891097681016,0.00038391084281222626,0.0005107570796194835,0.646544074622083,0.4313741305496106,6.0,3.0,4.0,
8,D8,Orientation drives Phase only,phase-drives,phi target = theta (no neighbour phi target); theta evolves normally,Abell370,Abell 370,0.20455380364385337,0.1343283053311355,-0.02386182040111204,0.1512204435133699,0.1685743949812337,0.08306521271521618,-0.06388767547107786,-0.01588784114498131,0.2469447710318491,2.220446049250313e-16,0.004068983633654306,0.9973290673229579,0.041341070364248604,0.1917115453378362,0.9856257507269808,0.9973290673229579,0.00038399400938656387,0.0009963721567949316,0.3938661346885099,0.5013412316556719,6.0,3.0,4.0,
9,D9,Bidirectional coupling (current S9),both,Both theta and phi respond to neighbours; product modulation,Abell370,Abell 370,0.2039763982647816,0.1265008530801746,-0.027854098583352787,0.14444034359270058,0.16937529616696367,0.08353371141809102,-0.0646402639099357,-0.01538205236101798,0.24622527894098312,2.220446049250313e-16,0.0021661336656330736,0.9980274815302298,0.04177687089104649,0.19309486332533587,0.9870090687144805,0.9980274815302298,0.0003874555429320782,0.0007804070294651873,0.646544074622083,0.5013412316556719,6.0,3.0,4.0,
10,D10,Phase update delayed (one-step lag),phase,phi uses target_p and phi from previous step,Abell370,Abell 370,0.20415059670277336,0.1286577119587506,-0.027676130342456896,0.1465425842131841,0.16987860103759045,0.08342621893987996,-0.06461727213843041,-0.015016843123122355,0.2451874960679561,2.220446049250313e-16,0.002604673915818515,0.9971096784684622,0.0417012451755194,0.192907220096455,0.9868214254855996,0.9971096784684622,0.00038757916967855504,0.0012716756673779792,0.6104407044937246,0.5013412316556719,6.0,3.0,4.0,
11,D11,Orientation update delayed (one-step lag),orient,theta uses target_t and theta from previous step,Abell370,Abell 370,0.20459554595574017,0.1277044515154094,-0.02736244835761202,0.1455498968445343,0.1693670795120755,0.08349543805433485,-0.06453746591208358,-0.015370271262804899,0.24482430599164218,2.220446049250313e-16,0.002816580435270613,0.997086649417177,0.041695109024212515,0.19289160712397413,0.9868058125131187,0.997086649417177,0.000387527142159748,0.0008926624025913196,0.646544074622083,0.4824952747123109,6.0,3.0,4.0,
12,D12,Neighbour phase ignored / local only,phase,phi evolves with OMEGA drift only; no neighbour phase alignment,Abell370,Abell 370,0.20184807524516366,0.13108100422080046,-0.024910951989629615,0.14877591432393655,0.1701128599443374,0.08333680463346534,-0.06416660956174779,-0.0149821770971708,0.24555273808073252,2.220446049250313e-16,0.0025104158661154647,0.9973790780085898,0.04183217640607111,0.1930071416591792,0.9869213470483238,0.9973790780085898,0.0003909861932577193,0.0009767271115283247,0.40000000000000036,0.5013412316556719,6.0,3.0,4.0,
13,D13,Neighbour orientation ignored / local only,orient,theta held at initial value; no neighbour alignment,Abell370,Abell 370,0.20016680027442993,0.13570767005872916,-0.0276245550436167,0.15276720525645102,0.16949881548255988,0.08325033068907656,-0.06468571682123181,-0.015694922422031302,0.24338307289872319,2.220446049250313e-16,0.0028534211572628903,0.997749806745504,0.04117826099245209,0.191182609667503,0.9850968150566476,0.997749806745504,0.00038303850844799994,0.0007638175050089422,0.646544074622083,0.0,6.0,3.0,4.0,
14,D14,Pure self-evolution (control vs WR4),control-wr4,"no neighbour contribution to theta, phi, or u relaxation",Abell370,Abell 370,0.19841742080999702,0.0026518686621678695,-0.044559257468120866,0.03090984842470402,0.17640698641326377,0.09038730119604486,-0.06819110068211269,-0.01723918413489462,0.24662769108545035,2.220446049250313e-16,-5.760117695970601e-05,1.0,0.04400521832054349,0.18860872584939126,0.9825229312385358,1.0,0.0003960469648848915,-0.000558086209000909,0.40000000000000036,0.0,6.0,3.0,5.0,
