candidate_a_code,candidate_b_code,cluster_id,field,normalization,trajectory_correlation,transform
T1,T4,Abell2744,J_net,N4,0.0,R6
T1,T4,Abell2744,grad_x,N0,0.9999857448341609,R1
T1,T4,Abell2744,grad_x,N0,0.9999857448341609,R2
T1,T4,Abell2744,grad_x,N0,0.9999999994078325,R3
T1,T4,Abell2744,grad_x,N0,0.9999857448341609,R4
T1,T4,Abell2744,grad_x,N0,-1.0,R5
T1,T4,Abell2744,grad_x,N0,-1.0,R6
T1,T4,Abell2744,grad_x,N1,0.9999857448341609,R1
T1,T4,Abell2744,grad_x,N1,0.9999857448341609,R2
T1,T4,Abell2744,grad_x,N1,0.9999984814305171,R3
T1,T4,Abell2744,grad_x,N1,0.9999857448341609,R4
T1,T4,Abell2744,grad_x,N1,-1.0,R5
T1,T4,Abell2744,grad_x,N1,-1.0,R6
T1,T4,Abell2744,grad_x,N2,0.9999986701391146,R1
T1,T4,Abell2744,grad_x,N2,0.9999986701391146,R2
T1,T4,Abell2744,grad_x,N2,0.9999956769702688,R3
T1,T4,Abell2744,grad_x,N2,0.9999986701391146,R4
T1,T4,Abell2744,grad_x,N2,-1.0,R5
T1,T4,Abell2744,grad_x,N2,-1.0,R6
T1,T4,Abell2744,grad_x,N3,0.9999857447802937,R1
T1,T4,Abell2744,grad_x,N3,0.9999857447802937,R2
T1,T4,Abell2744,grad_x,N3,0.9999928723901468,R3
T1,T4,Abell2744,grad_x,N3,0.9999857447802937,R4
T1,T4,Abell2744,grad_x,N3,-1.0,R5
T1,T4,Abell2744,grad_x,N3,-1.0,R6
T1,T4,Abell2744,grad_x,N4,0.999985744834161,R1
T1,T4,Abell2744,grad_x,N4,0.999985744834161,R2
T1,T4,Abell2744,grad_x,N4,0.9999999999999386,R3
T1,T4,Abell2744,grad_x,N4,0.999985744834161,R4
T1,T4,Abell2744,grad_x,N4,-1.0,R5
T1,T4,Abell2744,grad_x,N4,-1.0,R6
T1,T4,Abell2744,grad_y,N0,0.9999857408111007,R1
T1,T4,Abell2744,grad_y,N0,0.9999857408111007,R2
T1,T4,Abell2744,grad_y,N0,0.9999999994326675,R3
T1,T4,Abell2744,grad_y,N0,0.9999857408111007,R4
T1,T4,Abell2744,grad_y,N0,-1.0,R5
T1,T4,Abell2744,grad_y,N0,-1.0,R6
T1,T4,Abell2744,grad_y,N1,0.9999857408111006,R1
T1,T4,Abell2744,grad_y,N1,0.9999857408111006,R2
T1,T4,Abell2744,grad_y,N1,0.9999991958429726,R3
T1,T4,Abell2744,grad_y,N1,0.9999857408111006,R4
T1,T4,Abell2744,grad_y,N1,-1.0,R5
T1,T4,Abell2744,grad_y,N1,-1.0,R6
T1,T4,Abell2744,grad_y,N2,0.9999992072451894,R1
T1,T4,Abell2744,grad_y,N2,0.9999992072451894,R2
T1,T4,Abell2744,grad_y,N2,0.9999993076227449,R3
T1,T4,Abell2744,grad_y,N2,0.9999992072451894,R4
T1,T4,Abell2744,grad_y,N2,-1.0,R5
T1,T4,Abell2744,grad_y,N2,-1.0,R6
T1,T4,Abell2744,grad_y,N3,0.9999857360254938,R1
T1,T4,Abell2744,grad_y,N3,0.9999857360254938,R2
T1,T4,Abell2744,grad_y,N3,0.9999928680127466,R3
T1,T4,Abell2744,grad_y,N3,0.9999857360254938,R4
T1,T4,Abell2744,grad_y,N3,-1.0,R5
T1,T4,Abell2744,grad_y,N3,-1.0,R6
T1,T4,Abell2744,grad_y,N4,0.9999857408111006,R1
T1,T4,Abell2744,grad_y,N4,0.9999857408111006,R2
T1,T4,Abell2744,grad_y,N4,0.9999999999999364,R3
T1,T4,Abell2744,grad_y,N4,0.9999857408111006,R4
T1,T4,Abell2744,grad_y,N4,-1.0,R5
T1,T4,Abell2744,grad_y,N4,-1.0,R6
T1,T4,Abell2744,grad_mag,N0,0.9999857428502478,R1
T1,T4,Abell2744,grad_mag,N0,0.9999857428502478,R2
T1,T4,Abell2744,grad_mag,N0,0.999999999431261,R3
T1,T4,Abell2744,grad_mag,N0,0.9999857428502478,R4
T1,T4,Abell2744,grad_mag,N0,-1.0,R5
T1,T4,Abell2744,grad_mag,N0,-1.0,R6
T1,T4,Abell2744,grad_mag,N1,0.9999857428502481,R1
T1,T4,Abell2744,grad_mag,N1,0.9999857428502481,R2
T1,T4,Abell2744,grad_mag,N1,0.9999988215599459,R3
T1,T4,Abell2744,grad_mag,N1,0.9999857428502481,R4
T1,T4,Abell2744,grad_mag,N1,-1.0,R5
T1,T4,Abell2744,grad_mag,N1,-1.0,R6
T1,T4,Abell2744,grad_mag,N2,0.9999856487837427,R1
T1,T4,Abell2744,grad_mag,N2,0.9999856487837427,R2
T1,T4,Abell2744,grad_mag,N2,0.999998821559946,R3
T1,T4,Abell2744,grad_mag,N2,0.9999856487837427,R4
T1,T4,Abell2744,grad_mag,N2,-1.0,R5
T1,T4,Abell2744,grad_mag,N2,-1.0,R6
T1,T4,Abell2744,grad_mag,N3,0.9999609887860765,R1
T1,T4,Abell2744,grad_mag,N3,0.9999609887860765,R2
T1,T4,Abell2744,grad_mag,N3,0.9999804943930384,R3
T1,T4,Abell2744,grad_mag,N3,0.9999609887860765,R4
T1,T4,Abell2744,grad_mag,N3,-1.0,R5
T1,T4,Abell2744,grad_mag,N3,-1.0,R6
T1,T4,Abell2744,grad_mag,N4,0.999985742850248,R1
T1,T4,Abell2744,grad_mag,N4,0.999985742850248,R2
T1,T4,Abell2744,grad_mag,N4,0.9999999999999515,R3
T1,T4,Abell2744,grad_mag,N4,0.999985742850248,R4
T1,T4,Abell2744,grad_mag,N4,-1.0,R5
T1,T4,Abell2744,grad_mag,N4,-1.0,R6
T1,T4,Abell2744,lap,N0,0.9999855919095911,R1
T1,T4,Abell2744,lap,N0,0.9999855919095911,R2
T1,T4,Abell2744,lap,N0,0.9999999957776606,R3
T1,T4,Abell2744,lap,N0,0.9999855919095911,R4
T1,T4,Abell2744,lap,N0,-1.0,R5
T1,T4,Abell2744,lap,N0,-1.0,R6
T1,T4,Abell2744,lap,N1,0.9999855919095908,R1
T1,T4,Abell2744,lap,N1,0.9999855919095908,R2
T1,T4,Abell2744,lap,N1,0.9999971220934146,R3
T1,T4,Abell2744,lap,N1,0.9999855919095908,R4
T1,T4,Abell2744,lap,N1,-1.0,R5
T1,T4,Abell2744,lap,N1,-1.0,R6
T1,T4,Abell2744,lap,N2,0.9999969555824373,R1
T1,T4,Abell2744,lap,N2,0.9999969555824373,R2
T1,T4,Abell2744,lap,N2,0.9999968097956299,R3
T1,T4,Abell2744,lap,N2,0.9999969555824373,R4
T1,T4,Abell2744,lap,N2,-1.0,R5
T1,T4,Abell2744,lap,N2,-1.0,R6
T1,T4,Abell2744,lap,N3,0.9999855736072001,R1
T1,T4,Abell2744,lap,N3,0.9999855736072001,R2
T1,T4,Abell2744,lap,N3,0.9999927868036002,R3
T1,T4,Abell2744,lap,N3,0.9999855736072001,R4
T1,T4,Abell2744,lap,N3,-1.0,R5
T1,T4,Abell2744,lap,N3,-1.0,R6
T1,T4,Abell2744,lap,N4,0.9999855919095908,R1
T1,T4,Abell2744,lap,N4,0.9999855919095908,R2
T1,T4,Abell2744,lap,N4,0.9999999999999483,R3
T1,T4,Abell2744,lap,N4,0.9999855919095908,R4
T1,T4,Abell2744,lap,N4,-1.0,R5
T1,T4,Abell2744,lap,N4,-1.0,R6
T1,T4,Abell2744,memory,N0,1.0,R1
T1,T4,Abell2744,memory,N0,1.0,R2
T1,T4,Abell2744,memory,N0,1.0,R3
T1,T4,Abell2744,memory,N0,1.0,R4
T1,T4,Abell2744,memory,N0,0.0,R5
T1,T4,Abell2744,memory,N0,0.0,R6
T1,T4,Abell2744,memory,N1,1.0,R1
T1,T4,Abell2744,memory,N1,1.0,R2
T1,T4,Abell2744,memory,N1,1.0,R3
T1,T4,Abell2744,memory,N1,1.0,R4
T1,T4,Abell2744,memory,N1,0.0,R5
T1,T4,Abell2744,memory,N1,0.0,R6
T1,T4,Abell2744,memory,N2,1.0,R1
T1,T4,Abell2744,memory,N2,1.0,R2
T1,T4,Abell2744,memory,N2,1.0,R3
T1,T4,Abell2744,memory,N2,1.0,R4
T1,T4,Abell2744,memory,N2,0.0,R5
T1,T4,Abell2744,memory,N2,0.0,R6
T1,T4,Abell2744,memory,N3,1.0,R1
T1,T4,Abell2744,memory,N3,1.0,R2
T1,T4,Abell2744,memory,N3,1.0,R3
T1,T4,Abell2744,memory,N3,1.0,R4
T1,T4,Abell2744,memory,N3,0.0,R5
T1,T4,Abell2744,memory,N3,0.0,R6
T1,T4,Abell2744,memory,N4,1.0,R1
T1,T4,Abell2744,memory,N4,1.0,R2
T1,T4,Abell2744,memory,N4,1.0,R3
T1,T4,Abell2744,memory,N4,1.0,R4
T1,T4,Abell2744,memory,N4,0.0,R5
T1,T4,Abell2744,memory,N4,0.0,R6
T1,T4,Abell2744,neighbour_coherence,N0,1.0000000000000002,R1
T1,T4,Abell2744,neighbour_coherence,N0,1.0000000000000002,R2
T1,T4,Abell2744,neighbour_coherence,N0,0.9999999999999998,R3
T1,T4,Abell2744,neighbour_coherence,N0,1.0000000000000002,R4
T1,T4,Abell2744,neighbour_coherence,N0,0.0,R5
T1,T4,Abell2744,neighbour_coherence,N0,0.0,R6
T1,T4,Abell2744,neighbour_coherence,N1,1.0000000000000002,R1
T1,T4,Abell2744,neighbour_coherence,N1,1.0000000000000002,R2
