candidate_a_code,candidate_b_code,cluster_id,long_amp_a,long_amp_b,long_freq_a,long_freq_b,long_mode_correlation,long_stab_a,long_stab_b,trans_amp_a,trans_amp_b,trans_freq_a,trans_freq_b,trans_mode_correlation,trans_stab_a,trans_stab_b
T5,T9,AbellS1063,3.474313273394662e-05,4.3320871212556685e-05,1.0,1.0,0.996343875518864,0.9570751546433217,0.9389574626050066,4.915484026098845e-05,3.775187634958614e-05,1.0,1.0,0.9999990705139745,0.9988176615221058,0.999089498236069
T5,T9,Abell370,1.6634242504766377e-05,2.2711689703326935e-05,1.0,1.0,0.9958569238317618,0.9666042544794118,0.9476136141065401,4.452548881087351e-05,4.465183053875468e-05,1.0,1.0,0.9999999989709185,0.9993060122297216,0.99930413610438
T5,T10,Abell2744,2.0062990177243677e-05,3.5440055268289944e-05,1.0,1.0,0.9533942418924036,0.9623042264078605,0.8934870032632932,3.93697944396956e-05,5.535211641184584e-05,1.0,1.0,0.9999991064132948,0.9993555263593273,0.9990970496166085
T5,T10,MACS0416,8.6050371858286e-06,1.3106789252712398e-05,1.0,1.0,0.9312226647244283,0.9451130037794389,0.853293548286395,5.207194038635916e-05,6.94966210316751e-05,1.0,1.0,0.9999981416039307,0.9988638629631157,0.9984912577095684
T5,T10,MACS1149,2.137797700127158e-06,7.409042272198461e-06,1.0,1.0,0.9629850014112044,0.9863217138478181,0.9292548880215445,4.882405568640008e-05,6.214936545695305e-05,1.0,1.0,0.9999977182642992,0.9985491477187745,0.998164873164218
T5,T10,AbellS1063,3.474313273394662e-05,5.7890018864288844e-05,1.0,1.0,0.9484507950426885,0.9570751546433217,0.8829808358128529,4.915484026098845e-05,6.374840079490463e-05,1.0,1.0,0.999998457474043,0.9988176615221058,0.9984732181616726
T5,T10,Abell370,1.6634242504766377e-05,3.027421491917651e-05,1.0,1.0,0.9648592694705005,0.9666042544794118,0.9085077674870567,4.452548881087351e-05,6.525163988736254e-05,1.0,1.0,0.999998680041291,0.9993060122297216,0.998986946780586
T6,T9,Abell2744,7.511190132277239e-06,2.6043609916151548e-05,1.0,1.0,0.9722067125509503,0.987819997703124,0.944068251927517,2.937962865789025e-06,3.862553502076535e-05,1.0,1.0,0.9999950909202054,0.999951595728266,0.999367741160539
T6,T9,MACS0416,4.642078746955928e-05,1.0003409470281665e-05,1.0,1.0,0.022245351556935317,0.863482252635176,0.9276986578394757,2.4229559809279707e-05,4.509015261850947e-05,1.0,1.0,0.9999969306322255,0.999467485557124,0.9990148563062541
T6,T9,MACS1149,3.545951464011151e-05,4.337960568089659e-06,1.0,1.0,0.826623448750112,0.9050895248478916,0.9678958571077145,1.841664181297251e-05,4.2896854521888996e-05,1.0,1.0,0.9999920282514513,0.9994466699573484,0.9987234426086532
T6,T9,AbellS1063,0.00010013357453456451,4.3320871212556685e-05,1.0,1.0,0.8177313342896961,0.8738857852182381,0.9389574626050066,4.8476342761630285e-05,3.775187634958614e-05,1.0,1.0,0.9999985131659891,0.9988303863440826,0.999089498236069
T6,T9,Abell370,1.7275451384548682e-05,2.2711689703326935e-05,1.0,1.0,0.9341485637484465,0.9751512075505762,0.9476136141065401,1.954194267966123e-05,4.465183053875468e-05,1.0,1.0,0.9999978666208293,0.9996940242725447,0.99930413610438
T6,T10,Abell2744,7.511190132277239e-06,3.5440055268289944e-05,1.0,1.0,0.9023178189323616,0.987819997703124,0.8934870032632932,2.937962865789025e-06,5.535211641184584e-05,1.0,1.0,0.9999898768891218,0.999951595728266,0.9990970496166085
T6,T10,MACS0416,4.642078746955928e-05,1.3106789252712398e-05,1.0,1.0,0.265057009241543,0.863482252635176,0.853293548286395,2.4229559809279707e-05,6.94966210316751e-05,1.0,1.0,0.9999868631401337,0.999467485557124,0.9984912577095684
