cluster_id,model,channel_id,channel_name,decomposition_type,divergence_rms,curl_rms,pearson_div_vs_kappa_gr,pearson_div_vs_gamma1_gr,pearson_div_vs_gamma2_gr,pearson_div_vs_gamma_mag_gr,pearson_curl_vs_kappa_gr,pearson_curl_vs_gamma1_gr,pearson_curl_vs_gamma2_gr,pearson_curl_vs_gamma_mag_gr,spearman_div_vs_kappa_gr,spearman_div_vs_gamma_mag_gr,spearman_curl_vs_kappa_gr,spearman_curl_vs_gamma_mag_gr
MACS1149,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0016173552389073392,0.013255429974317076,0.002815293317532237,-0.000977648704985078,0.010273543045617218,-0.0205668355853232,-0.6485736558986296,-0.02273901003170037,0.07217160732464677,-0.01780837584085893,-0.011680189226783915,-0.021533767288235115,-0.6105850798915561,-0.01805685288797932
MACS1149,A8,CH0,Native full response,native,4.0628677949898225e-17,0.01733753310899836,0.010267196606184819,0.033048469476766255,-0.016631652269223657,-0.0032603076622485442,-0.6516997423125142,-0.061950161065179775,0.053265327486395654,-0.015539000335687697,0.0009378609806514371,-0.040662943480935305,-0.5821348719826265,-0.022341879543271187
MACS1149,A8,CH1,Longitudinal (local-gradient),local_longitudinal,0.00251540109285378,0.004430446572004765,0.001183001713686707,0.02092297973849338,-0.008475295870543798,0.003257386145252786,0.013030737517300458,-0.038834563890141525,-4.897404012785051e-06,-0.01713054335038283,0.004820862548458579,-0.0011940887909584518,0.015809424581754182,-0.009166192635089465
MACS1149,A8,CH2,Transverse (local-gradient),local_transverse,0.0024731125539613143,0.016962385036639487,0.004991362191237835,-0.027247056642796225,0.010486262729886538,0.00341782300135902,-0.6702138460631578,-0.05208871789806996,0.054560995349914945,-0.009357392898570497,0.000500642724373503,0.008893757017050356,-0.6218444696143699,-0.014810673611129737
MACS1149,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.0025517082159107504,0.0019240487231281045,0.024381185439022957,0.0004921321003748045,0.017567034219890892,0.00452384493936995,-0.14078404601558414,-0.0018083158916243401,-0.007583171736351012,0.01608748418637849,0.0021882679569992696,0.011067469274455713,-0.08239130532419639,-0.003796013996885061
MACS1149,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,0.0025517082159107465,0.01686391814570551,-0.02438118543902284,-0.0004921321003742538,-0.01756703421989117,-0.004523844939370013,-0.6539399973156584,-0.06348368625658682,0.05562644273163931,-0.017810869010718627,-0.0021882679569992696,-0.011067469274455713,-0.5896117481614015,-0.0237401565717254
AbellS1063,C10,CH0,Native full response,native,0.0015570685964824175,0.017263111527311283,-0.0026894335347770843,-0.00354674172062124,0.03667189714353738,0.007069185382703297,-0.6416880241652204,0.03645157554542561,-0.026881789508461786,0.04603446434762053,-0.005699299324541498,-0.0005584205833626141,-0.5799758828882654,0.022142978366138988
AbellS1063,C10,CH1,Longitudinal (local-gradient),local_longitudinal,0.0030399606848570252,0.004310737110879705,-0.01036526494304686,-0.005099113342567465,-0.0024585563737066995,-0.001898804467746028,0.009965371030480856,0.07833100617457613,-0.012650199559075929,-0.0088021626127614,0.0015411209069487993,-0.0025875732913657004,-0.004738449401465022,0.014337180571239028
AbellS1063,C10,CH2,Transverse (local-gradient),local_transverse,0.00325102176978036,0.01677776452898331,0.00821529843869189,0.0024654701574652405,0.020779183803087013,0.0052026363347163936,-0.6629792592540427,0.017068005158289525,-0.02449188815097065,0.04988578133622098,0.008093590108202554,0.011840200117111958,-0.6024524357001818,0.019281619970243125
AbellS1063,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,0.001959430982145645,0.0009360417334920552,-0.004356738976133582,-0.005435209211185827,0.010171109124810831,-0.015986515840499416,-0.09303699395769523,-0.0010453783021857014,0.001239310293922986,0.002746552421992797,-0.0034009403015116037,-0.0024601819761578426,-0.09619609147221768,-0.0026172682805966304
