laboratory_id,cluster_id,model,channel_id,channel_name,decomposition_type,smoothing_state,timestep,response_energy,energy_fraction,divergence_rms,curl_rms,pearson_preprop_vs_kappa_gr,pearson_preprop_vs_gamma_gr,pearson_postprop_kappa_vs_gr,pearson_postprop_gamma_vs_gr,kappa_specialization,shear_specialization,rotation_specialization,displacement_divergence_rms,displacement_curl_rms,jacobian_trace_rms,jacobian_shear_rms,image_rotation_rms,lag_dx,lag_dy,lag_improvement,interface_assignment,wave_mode_id,nearest_alpha_multiple,alpha_input_dependency
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,C10,CH0,Native full response,native,SM0_native,20,1.1370043664031875,1.0,0.0014418670139430686,0.013455245707643951,-0.008551553539840877,-0.016867064067352115,0.21088311696503098,0.22042227089541075,-0.009539153930379768,0.009539153930379768,nan,0.25821033066156734,0.25824933907039205,0.979067576216822,0.03842521591433519,0.0,0,1,0.2177091395399266,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,C10,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.0774238577362365,0.06809460018272402,0.0024435829378520167,0.003699414361493802,0.0031443665228813667,-0.005518589687157965,-0.05125011548619496,0.27848129011272993,-0.3297314055989249,0.3297314055989249,nan,0.2581907453744775,0.2581840661865144,0.9920545900062105,0.019126156848008065,0.0,0,1,-0.08812400533214278,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,C10,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,1.0586196760668742,0.9310603436077591,0.0027698424897811976,0.01312387657783606,-0.0066960526059392095,-0.015760849840250075,0.236668530438171,0.16212312263529174,0.07454540780287924,-0.07454540780287924,nan,0.25820304438762237,0.258250271674746,0.979509044902095,0.03887291393918297,0.0,0,1,0.25376469268663543,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.041467652675787,0.03647097047390086,0.0018484774876393194,0.0010576830582474039,-0.009133729753441575,0.008610483076816021,0.07930815212741445,0.17391072836505495,-0.0946025762376405,0.0946025762376405,nan,0.2581832195602368,0.258223444816076,0.9939348718341001,0.015517498898519218,0.0,0,1,0.12890049552585292,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,1.081509564233436,0.9511920940591422,0.0016173552389073392,0.013255429974317076,0.002815293317532237,-0.01780837584085893,0.21768546345646342,0.3064116257114412,-0.08872616225497779,0.08872616225497779,nan,0.2582102972449952,0.2582105956004141,0.9812426521096123,0.031988063485692504,0.0,0,1,0.21562142147804833,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,A8,CH0,Native full response,native,SM0_native,20,1.7192529066568174,1.0,4.0628677949898225e-17,0.01733753310899836,0.010267196606184819,-0.015539000335687697,0.23662895121166677,0.15293366355291071,0.08369528765875606,-0.08369528765875606,nan,0.2582017225588162,0.25825161126605756,0.9726302656510454,0.04702399303219074,0.0,0,1,0.23933746739779457,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,A8,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.09215151823216941,0.05359974549140833,0.00251540109285378,0.004430446572004765,0.001183001713686707,-0.01713054335038283,0.04113158459643047,-0.03447696690025892,0.0756085514966894,-0.0756085514966894,nan,0.25818132498575735,0.2581605974982486,0.9837674442109363,0.03202204260080697,0.0,0,1,0.04225970400970407,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,A8,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,1.6138258470571403,0.938678562536395,0.0024731125539613143,0.016962385036639487,0.004991362191237835,-0.009357392898570497,0.16846387124671505,0.12980918799869776,0.038654683248017296,-0.038654683248017296,nan,0.25820218807019074,0.2582717562939112,0.9734386474990898,0.051548847198274926,0.0,0,1,0.17349825555443313,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,A8,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.07492491500413767,0.04357992632383174,0.0025517082159107504,0.0019240487231281045,0.024381185439022957,0.01608748418637849,0.11415353261239507,-0.14567688131910153,0.2598304139314966,-0.2598304139314966,nan,0.2581857134711727,0.2582113133746963,0.9925952324644437,0.016514662049664286,0.0,0,1,0.10145861544073496,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,MACS1149,A8,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,1.6190474906254182,0.9417157210300989,0.0025517082159107465,0.01686391814570551,-0.02438118543902284,-0.017810869010718627,0.25579513758464506,0.240891666173119,0.014903471411526065,-0.014903471411526065,nan,0.25819739900709215,0.2582252625051081,0.9767022696462718,0.039470927307263814,0.0,0,1,0.2615489240327287,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,AbellS1063,C10,CH0,Native full response,native,SM0_native,20,1.8314122567244406,1.0,0.0015570685964824175,0.017263111527311283,-0.0026894335347770843,0.04603446434762053,0.3273476950827446,0.2310519478148231,0.09629574726792148,-0.09629574726792148,nan,0.2581237072488576,0.2584951207623491,0.9797452469852871,0.059519183068770395,0.0,0,1,0.33574056234669825,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,AbellS1063,C10,CH1,Longitudinal (local-gradient),local_longitudinal,SM0_native,20,0.1152867562670733,0.06294964765239074,0.0030399606848570252,0.004310737110879705,-0.01036526494304686,-0.0088021626127614,0.001354950517231865,0.24754429132975597,-0.2461893408125241,0.2461893408125241,nan,0.2581908654132975,0.2582093236323826,0.9820155459968334,0.04125928616339092,0.0,0,1,0.06274393763170638,IC0_native,W1,alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,AbellS1063,C10,CH2,Transverse (local-gradient),local_transverse,SM0_native,20,1.7150833937701977,0.936481334266976,0.00325102176978036,0.01677776452898331,0.00821529843869189,0.04988578133622098,0.30631365205682987,0.18038962075673715,0.12592403130009272,-0.12592403130009272,nan,0.25812079803004584,0.258468712629303,0.9809153847821706,0.06349504094676829,0.0,0,1,0.3002819518785363,IC0_native,W2,6alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,AbellS1063,C10,CH3,Irrotational (Helmholtz),helmholtz_irrotational,SM0_native,20,0.04744113326224553,0.025904125675720893,0.001959430982145645,0.0009360417334920552,-0.004356738976133582,0.002746552421992797,0.1776783395449837,0.24762203813871836,-0.06994369859373467,0.06994369859373467,nan,0.2581838965673137,0.2583004478975912,0.9861093011171731,0.027670547928326412,0.0,0,1,0.18974447576524137,IC0_native,W1,3alpha,indirect
PBUF RESPONSE-CHANNEL-SEPARATION-LAB-001,AbellS1063,C10,CH4,Solenoidal (Helmholtz),helmholtz_solenoidal,SM0_native,20,1.7627346902004781,0.9625002146448473,0.0017729253315552484,0.017107119819169445,0.0024530546709270735,0.046303949735848816,0.27809711289867073,0.24500158574031894,0.03309552715835179,-0.03309552715835179,nan,0.2581204249121562,0.2583809978164596,0.9852701280668046,0.0504620474492394,0.0,0,1,0.28485658068045433,IC0_native,W2,6alpha,indirect
