cluster_id,model,channel_id,channel_name,n_photons,n_steps,mean_displacement_x,mean_displacement_y,max_deviation_mean,bending_angle_mean,conservation_max,kappa_rms,kappa_pearson_vs_gr,gamma1_rms,gamma2_rms,gamma_mag_rms,gamma_mag_pearson_vs_gr,rotation_rms,rotation_pearson_vs_gr
MACS1149,C10,CH2,Transverse (local-gradient),19881,160,2.3849707671371227,0.0012656089796947725,0.019544344791003733,0.02755040668449522,2.220446049250313e-16,0.07297711245415857,0.236668530438171,0.036460324874279415,0.013481400082525845,0.03887291393918297,0.16212312263529174,0.0,nan
MACS1149,C10,CH3,Irrotational (Helmholtz),19881,160,2.3849982657301885,0.0016160990228261459,0.0053615515551002765,0.004539670715959902,2.220446049250313e-16,0.03076439326379101,0.07930815212741445,0.015382023700313049,0.002046000720565094,0.015517498898519218,0.17391072836505495,0.0,nan
MACS1149,C10,CH4,Solenoidal (Helmholtz),19881,160,2.3849715916742564,0.0003031598597608901,0.018319090885313034,0.02897767285668121,2.220446049250313e-16,0.05773857331945595,0.21768546345646342,0.0288380378496484,0.013842101666543998,0.031988063485692504,0.3064116257114412,0.0,nan
MACS1149,A8,CH0,Native full response,19881,160,2.3849480895716804,0.002816982858489308,0.026537545519023036,0.04036403630514561,2.220446049250313e-16,0.08586934120134214,0.23662895121166677,0.042884340799257924,0.019292206584645144,0.04702399303219074,0.15293366355291071,0.0,nan
MACS1149,A8,CH1,Longitudinal (local-gradient),19881,160,2.3849970022231894,0.0004713521952684244,0.005974467828420353,0.010973925109030879,2.220446049250313e-16,0.06299346893655403,0.04113158459643047,0.03149467079219285,0.005787652721033852,0.03202204260080697,-0.03447696690025892,0.0,nan
MACS1149,A8,CH2,Transverse (local-gradient),19881,160,2.3849536206777104,0.0024102167463907103,0.025343090282282724,0.03662258093387145,2.220446049250313e-16,0.09695235101921218,0.16846387124671505,0.0484282181636975,0.017663276393704998,0.051548847198274926,0.12980918799869776,0.0,nan
MACS1149,A8,CH3,Irrotational (Helmholtz),19881,160,2.3849970907505975,0.0018518064768046117,0.006684046943649955,0.007060897194075029,2.220446049250313e-16,0.03231638158464527,0.11415353261239507,0.016157401962155045,0.003416493004232557,0.016514662049664286,-0.14567688131910153,0.0,nan
MACS1149,A8,CH4,Solenoidal (Helmholtz),19881,160,2.384958767653749,0.0009423622238770785,0.021727710034876235,0.03993978017496768,2.220446049250313e-16,0.06913310691529159,0.25579513758464506,0.034511650532677345,0.01915463599251251,0.039470927307263814,0.240891666173119,0.0,nan
AbellS1063,C10,CH0,Native full response,19881,160,2.384929798227437,0.003072575399189661,0.026711291768537225,0.03792601700602334,2.220446049250313e-16,0.10822845606772447,0.3273476950827446,0.05415078191417899,0.024702752301248358,0.059519183068770395,0.2310519478148231,0.0,nan
AbellS1063,C10,CH1,Longitudinal (local-gradient),19881,160,2.384994550972958,0.0014188102815072992,0.008209971262759687,0.010426260195944392,2.220446049250313e-16,0.08135487488301392,0.001354950517231865,0.04067756452400515,0.00690394373586423,0.04125928616339092,0.24754429132975597,0.0,nan
