cluster_id,model,stage,r_00,r_0p1,r_0m1,r_p10,r_m10,best_dx,best_dy,delta_r_0p1,best_lag_value,best_lag_correspondence
MACS1149,C10,final_shear,0.22042227089541075,0.27304732944808496,0.268920233927594,0.2116464077857245,0.28688896097894945,0,0,0.052625058552674214,0.28688896097894945,False
MACS1149,A8,native_response_rx,-0.002708516186127793,0.3695220495426555,-0.36988519609628046,-0.014952061055365447,0.004715135525568754,0,1,0.37223056572878327,0.3695220495426555,True
MACS1149,A8,longitudinal_amplitude,0.011385026317953668,-9.871893312656853e-05,-0.013609554544721878,-0.019316535131057206,-0.002325189479302502,0,0,-0.011483745251080237,0.011385026317953668,False
MACS1149,A8,transverse_amplitude,0.371354613201893,0.38177284361966385,0.40707363186635886,0.3902422509756791,0.4061573242633465,0,0,0.010418230417770846,0.40707363186635886,False
MACS1149,A8,divergence_native,0.010267196606184819,0.0044676607508210816,0.04561507965372529,0.04052847064474456,-0.07512849817238608,0,0,-0.005799535855363737,0.04561507965372529,False
MACS1149,A8,curl_native,-0.015539000335687697,-0.043786688218838896,-0.034150887503649176,-0.014776740252631032,-0.03318559814990785,0,0,-0.0282476878831512,-0.014776740252631032,False
MACS1149,A8,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
MACS1149,A8,accumulated_displacement_x,0.13859471539720636,0.10047991083312764,0.1283435468897077,0.07476857870666409,0.13356457393393834,0,0,-0.038114804564078716,0.13859471539720636,False
MACS1149,A8,jacobian_trace,-0.23662895121166677,0.1704868433534685,-0.4116756055297149,-0.2590824634124425,-0.13849136331888173,0,1,0.40711579456513525,0.1704868433534685,True
MACS1149,A8,final_convergence,0.23662895121166677,-0.1704868433534685,0.4116756055297149,0.2590824634124425,0.13849136331888173,0,0,-0.40711579456513525,0.4116756055297149,False
MACS1149,A8,final_shear,0.15293366355291071,0.15637551314613055,0.20338967525846918,0.14023391072025462,0.22882961394832202,0,0,0.003441849593219831,0.22882961394832202,False
AbellS1063,C10,native_response_rx,-0.008392867263953658,0.3641569479822895,-0.3824996034593113,-0.0017037826333234523,-0.01678207676458088,0,1,0.37254981524624314,0.3641569479822895,True
AbellS1063,C10,longitudinal_amplitude,0.0233462674199204,-0.0739081216405897,0.14992238146001807,0.029493352703892643,0.03129670425916434,0,0,-0.0972543890605101,0.14992238146001807,False
AbellS1063,C10,transverse_amplitude,0.4086993044930394,0.42262052882750173,0.4208405713973827,0.40232301393252146,0.4410529675703031,0,0,0.013921224334462357,0.4410529675703031,False
AbellS1063,C10,divergence_native,-0.0026894335347770843,0.06891523748962654,-0.05537315602266697,-0.009702490899791832,0.0011638242183436894,0,1,0.07160467102440363,0.06891523748962654,True
AbellS1063,C10,curl_native,0.04603446434762053,0.01598373081168021,0.03757996128800608,0.046321469597106285,-0.004500146581206812,0,0,-0.030050733535940316,0.046321469597106285,False
AbellS1063,C10,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
AbellS1063,C10,accumulated_displacement_x,-0.03705638499555022,-0.08788116652922857,0.027060248785417317,-0.019794218091479417,-0.0074112297206402585,0,0,-0.05082478153367835,0.027060248785417317,False
AbellS1063,C10,jacobian_trace,-0.3273476950827445,0.20348725225016934,-0.4197930663286436,-0.2946336168965172,-0.22885977590366424,0,1,0.5308349473329139,0.20348725225016934,True
AbellS1063,C10,final_convergence,0.3273476950827446,-0.20348725225016934,0.4197930663286437,0.2946336168965172,0.2288597759036643,0,0,-0.5308349473329139,0.4197930663286437,False
AbellS1063,C10,final_shear,0.2310519478148231,0.24836847270665766,0.16773979842803766,0.14573879175779733,0.30456744899686755,0,0,0.01731652489183455,0.30456744899686755,False
AbellS1063,A8,native_response_rx,-0.010655632098322054,0.3748083314057163,-0.3887026184063032,0.0014259740976566586,-0.016047320997741414,0,1,0.38546396350403833,0.3748083314057163,True
AbellS1063,A8,longitudinal_amplitude,0.018628171619074995,0.03193018713254243,0.021521035213901828,0.018115145976090107,0.007189577115967761,0,1,0.013302015513467432,0.03193018713254243,True
AbellS1063,A8,transverse_amplitude,0.42273728756414025,0.4354850832893158,0.42919074265726426,0.42861087655971003,0.4380820219232243,0,0,0.012747795725175537,0.4380820219232243,False
AbellS1063,A8,divergence_native,0.02636146787123526,-0.02332666273827339,0.05034558941409818,0.03624645490755828,0.0224590892432902,0,0,-0.04968813060950865,0.05034558941409818,False
AbellS1063,A8,curl_native,0.041742177289577055,0.026541214453493413,0.025198141507520977,0.019210255162187207,0.01431026112002947,0,0,-0.015200962836083642,0.041742177289577055,False
AbellS1063,A8,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
AbellS1063,A8,accumulated_displacement_x,-0.011186520823839998,-0.04683215993368376,0.028653527576618047,-0.007781413151589802,0.000641816095432864,0,0,-0.035645639109843766,0.028653527576618047,False
AbellS1063,A8,jacobian_trace,-0.32284553606187527,0.2368583781102384,-0.4250619837777923,-0.26320026431195087,-0.2655430180574547,0,1,0.5597039141721136,0.2368583781102384,True
AbellS1063,A8,final_convergence,0.3228455360618753,-0.2368583781102384,0.4250619837777923,0.2632002643119509,0.26554301805745467,0,0,-0.5597039141721137,0.4250619837777923,False
AbellS1063,A8,final_shear,0.08609196163638712,0.1265791293332972,0.03338913208072206,0.06491870735989264,0.20404767649601188,0,0,0.04048716769691009,0.20404767649601188,False
Abell370,C10,native_response_rx,0.0012113789669151995,0.39747259737106505,-0.39515147987031785,-0.013103505008168316,0.020092453470501082,0,1,0.39626121840414985,0.39747259737106505,True
Abell370,C10,longitudinal_amplitude,-0.01512763500080876,-0.07198215883830356,0.0382451137874233,-0.0161457587962464,-0.0011482377669005596,0,0,-0.0568545238374948,0.0382451137874233,False
Abell370,C10,transverse_amplitude,0.24979043553926855,0.2918225425909058,0.25492983668717967,0.2682851396838419,0.2686778430820729,0,1,0.042032107051637235,0.2918225425909058,True
Abell370,C10,divergence_native,0.016393623086189003,0.027875866222774076,-0.007336896477150157,0.013161315816762977,0.022560660758905064,0,1,0.011482243136585073,0.027875866222774076,True
Abell370,C10,curl_native,-0.06506165372741035,-0.039882821857229314,-0.054893479195942285,-0.05577754937628003,-0.04730397050296032,0,1,0.025178831870181037,-0.039882821857229314,True
Abell370,C10,per_step_displacement_dx,nan,nan,nan,nan,nan,0,0,nan,nan,False
Abell370,C10,accumulated_displacement_x,0.08146559267025624,0.15086120371140072,0.003850052806178985,0.034781891067740434,0.06650499849380376,0,1,0.06939561104114447,0.15086120371140072,True
Abell370,C10,jacobian_trace,-0.36773968625968306,0.3312534486769634,-0.35082511718757003,-0.4350789848519278,-0.16988486828181856,0,1,0.6989931349366465,0.3312534486769634,True
Abell370,C10,final_convergence,0.367739686259683,-0.3312534486769634,0.35082511718757003,0.4350789848519278,0.1698848682818185,0,0,-0.6989931349366464,0.4350789848519278,False
Abell370,C10,final_shear,0.38979366663119597,0.40987370445661425,0.1755623371060083,0.34623463030748747,0.3851168737800097,0,1,0.020080037825418284,0.40987370445661425,True
