transport_number,transport_code,transport_name,invariant_name,invariant_kind,is_wrong,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,invariant_drift_relative,fast_slow_exchange,n_families,wave_modes,wave_families,propagating,standing,travelling,transverse,longitudinal,mixed,polarization_like,attenuation,dispersion,coherence_length,mode_stability,fast_to_slow_total,returned_total,stored_total,lost_total,fast_to_slow_net,wave_emerged
7,T7,Conserved Circulation,circulation Γ,circulation,False,MACS0416,MACS J0416,-0.19103061599108231,0.15836196171812444,0.010797059653279803,0.1683106827879714,0.19458199565546636,0.06218117127584275,-0.1029672349191751,-0.00800198278538293,0.23484759510029107,2.220446049250313e-16,-0.0003972661789896693,0.9969716175678675,0.01608682916792878,0.0,-0.0009087239308011218,0.0,0.8683980236302802,0.9969716175678675,20,2,20,0.0,0.0,0.0,0.3776807866743211,0.49278381099813906,0.1861149773981471,0.033765634801073086,0.0,0.0,7.0,0.9880310247103561,0.0,0.051771592301905756,0.00568499833755709,0.046086593964348666,0.051771592301905756,True
8,T8,Conserved Flux,div j = 0,flux,False,MACS0416,MACS J0416,0.0011202501243912234,0.12398698268904328,-0.0001993682079105219,0.1355021756592914,0.18497532177994588,0.062431124532400545,-0.10022443027797735,-0.01146325375383984,0.2344093139981851,2.220446049250313e-16,1.337531606011909e-05,0.9999074882973162,0.008561160815086462,0.0,-0.0004980824357513334,0.0,1254.7862141532605,0.9999074882973162,20,1,20,0.0,0.0,0.0,0.22829990036489356,0.49674996512020414,0.11340796754320695,0.014907774770943183,0.0,0.0,7.0,0.99615552534953,0.0,0.8669099144163823,2.2547265345024368,-1.3878166200860544,0.8669099144163823,True
9,T9,Coupled Energy + Phase,E and arg(z) jointly preserved,energy_phase,False,MACS0416,MACS J0416,-0.0034686342374571602,0.12487448895462687,-0.0001311101610759878,0.1364394652850363,0.18484349141531756,0.06228727167272953,-0.10025297766946584,-0.0116566698842442,0.23285980010405183,2.220446049250313e-16,0.0003036611914034225,0.9989153105896176,0.002966184356468212,0.0,-0.00020779656040803,1.0,7.772753202837741e-16,0.9989153105896176,20,2,20,0.0,0.0,0.0,0.6535524276274298,0.4963895558235998,0.32441659925741523,0.016643996305528486,0.0,0.0,7.0,0.9948351846009831,0.13036251395242715,0.0,3.552713678800501e-15,-0.1303625139524307,0.13036251395242715,True
10,T10,Unified State Transport,|z|² and arg(z),unified,False,MACS0416,MACS J0416,0.0036291712133208922,0.12330100183145377,-0.000270869233003664,0.1348510590192448,0.18582806380427022,0.06252210179897212,-0.10035747242380125,-0.010656541212955305,0.23531444591935724,2.220446049250313e-16,0.00014177226226723747,0.9990327252780425,0.005517361505735864,0.0,-0.00036968548954421503,1.0,4.663651921702644e-16,0.9990327252780425,20,2,20,0.0,0.0,0.0,0.5635111292296551,0.49773332267284104,0.2804782667146009,0.010330079367527611,0.0,0.0,7.0,0.9789893341887373,0.18702716049889556,0.0,-3.552713678800501e-15,-0.187027160498892,0.18702716049889556,True
11,WR1,Wrong: Random Transport,no invariant,wrong,True,MACS0416,MACS J0416,0.07854436754052889,0.12066457536394795,0.006086859839869284,0.05189687261817219,0.4767438589271791,0.2330125530635441,-0.09088940741238954,0.17975565047401196,0.2534558470360935,2.220446049250313e-16,-0.0004819768622077524,-0.5105934200935544,0.7091220211837698,0.5,-0.000993434614019205,0.0,0.0,-0.5105934200935544,10,1,10,0.0,0.0,0.0,0.0009245069792876159,0.35364229116310864,0.0003269447663515571,0.9994941323173472,0.0,0.0,87.66666666666667,0.987156826679324,37.33497958177054,1091.6316960780043,2108.8025921526923,-1054.5058756564586,1128.9666756597749,True
12,WR2,Wrong: Non-conserved Transport,deliberately violated,wrong,True,MACS0416,MACS J0416,-0.0028677476927877975,0.12502131085830534,-0.00014574256996718722,0.13651800140232212,0.1847911625153558,0.062339580997866184,-0.10031120217652252,-0.011799872562776485,0.23437955300323665,2.220446049250313e-16,0.00025943638818347466,0.999902044963195,0.007983924252305161,0.0,-0.00025202136362797783,0.0,0.0,0.999902044963195,20,1,20,0.0,0.0,0.0,0.1080474071082111,0.4963597011641597,0.05363037870379397,0.016784217369611554,0.0,0.0,7.0,0.9940237448100965,1.339841416166582,0.0,-2.37496158398838,1.0351201678217983,1.339841416166582,True
13,WR3,Wrong: Pure Diffusion,linear,wrong,True,MACS0416,MACS J0416,0.005843329239709277,0.12509206847823176,-0.00027141742063035437,0.1361108486072717,0.18535629370063783,0.06289796404619442,-0.10022904053657591,-0.011645752380623197,0.2334585109492764,2.220446049250313e-16,-0.0004845348441832499,0.9999222965302218,0.0090826798275684,0.0,-0.0009959925959947024,0.0,0.0,0.9999222965302218,20,2,20,0.0,0.0,0.0,0.7172698194825663,0.4947474222439617,0.3548673942423914,0.024010011299715917,0.0,0.0,7.0,0.9989548517504467,0.0,0.8889661807240037,2.310718460241887,-1.4217522795178832,0.8889661807240037,True
14,WR4,Wrong: Frozen Transport,frozen,wrong,True,MACS0416,MACS J0416,-0.003384458195645029,0.12508252996406274,-5.8463385893967665e-05,0.13589900314308195,0.18427215142355088,0.0629249590442625,-0.09973920024335897,-0.013329851733805784,0.23321578092873096,2.220446049250313e-16,0.0004081650746844907,0.0,0.0,0.0,-0.00010329267712696181,0.0,0.0,0.0,20,1,20,0.0,0.0,0.0,0.0,0.4921287422479656,0.0,0.0366274171599873,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-0.0,0.0,True
1,T1,Scalar Density,density (no strict conservation),scalar,False,MACS1149,MACS J1149,0.18666709684911564,0.013391150866469824,0.08312497653517908,0.017081335679517078,0.09259787588125538,0.10921168445507813,-0.032899710677393335,-0.0851585419796163,0.23682466801255941,2.220446049250313e-16,0.0036327052563755076,0.9991147890179899,0.002657023088896643,0.0,-0.004027947956136282,0.0,6.616759028190056,0.9991147890179899,20,2,20,0.0,0.0,0.0,0.7632579447931696,0.4944143178653349,0.3773656561302124,0.02790992524963698,0.0,0.0,4.0,0.9950458777992539,0.2883725852772403,0.0,-0.29655789467145954,0.008185309394219242,0.2883725852772403,True
2,T2,Conserved Phase,|z|² (rotation-invariant),phase,False,MACS1149,MACS J1149,0.20206856761817532,-0.002685909093580491,0.09390194831987603,0.010927765240880443,0.09053575912506082,0.11132181476453906,-0.032385653062770796,-0.08749486250377446,0.23683636798523366,2.220446049250313e-16,0.002860552903151844,0.9998679610743323,0.004352113085725448,0.0,-0.0048001003093599455,1.0,13.241274931954976,0.9998679610743323,20,2,20,0.0,0.0,0.0,0.550112720228997,0.4896016174709373,0.26933607761545414,0.052291626972603145,0.0,0.0,4.0,0.9640512057056618,0.3078739015841241,0.0,-0.30685018130767094,-0.001023720276453144,0.3078739015841241,True
