decomposition_number,decomposition_code,decomposition_name,family,cluster_id,cluster_label,pearson_kappa,pearson_gamma,ssim_kappa,ssim_gamma,rms_kappa,rms_gamma,kappa_bias,gamma_bias,runtime_seconds,max_conservation_error,coherence_gain,emergent_memory_index,evolution_activity,phase_emergence_score,orientation_emergence_score,multiplicative_coupling_score,fast_slow_exchange_mean,fast_slow_exchange_var,state_persistence_mean,state_persistence_var,relaxation_time,spatial_correlation_length,temporal_persistence_length,propagating,standing,transverse,longitudinal,polarization_like,phase_velocity,group_velocity,attenuation,dispersion,coherence_length,mode_stability,wave_modes,wave_emerged
8,D8,Bidirectional removed (independent),coupling_direction,MACS0416,MACS J0416,0.0023717083728371858,0.12674427822538192,-0.00017327319393377777,0.1376372873532579,0.18503836472638552,0.06286454227644724,-0.10003913754493404,-0.012130414280047117,0.235418695025146,2.220446049250313e-16,-0.00021673612903219653,0.9999497971332026,0.004043071908789469,0.0,-0.000728193880843649,0.0,0.002374702499227863,0.10476178062389835,0.9999936705511219,1.6940848605692923e-06,9.0,7.0,5.0,0.0,0.0,0.251341897069065,0.49426945638416137,0.026296589785610114,0.0,0.0,0.0,0.0,7.0,0.9726537571570897,1,True
9,D9,Coupling additive (no multiplicative),coupling_form,MACS0416,MACS J0416,0.0014211046578157147,0.1255095114837243,-0.00019557074929658127,0.13653763408575453,0.1850097696067739,0.06280649473186406,-0.10020371601968245,-0.012103338046962127,0.23818805697374046,2.220446049250313e-16,-1.6753963669286615e-05,0.9999384723147708,0.0038172953768846256,0.0,-0.0005282117154807391,0.0,0.0015580447919740492,0.36346774606985555,0.9999829893191571,1.0668737198444323e-05,10.0,7.0,5.0,0.0,0.0,0.7566376726973187,0.49701559311096355,0.013676506311475878,0.0,0.0,0.0,0.0,7.0,0.9834284044761716,2,True
10,D10,Coupling multiplicative,coupling_form,MACS0416,MACS J0416,0.0038568046528460803,0.11672885231646003,-6.728360059671701e-05,0.11322268476963827,0.15218873842171618,0.06396816882486298,-0.09948172905306606,-0.03800031255207143,0.23892846994567662,2.220446049250313e-16,-0.00020600524325869237,0.9998554462630368,0.012454605962579295,0.0,-0.0007174629950701449,1.0,0.0023773127452022366,0.1028991693545626,0.9999768975743637,2.101123412831365e-06,12.0,8.0,5.0,0.0,0.0,0.8343205890017522,0.4949838717651213,0.023918696077722124,0.0,0.0,0.0,0.0,7.666666666666667,0.9727471087266029,2,True
11,D11,Neighbour interaction only on fast,neighbour_assignment,MACS0416,MACS J0416,-0.0037653634716329704,0.12433309478525005,-9.914237850029982e-05,0.13566197419250428,0.1845332979751208,0.06252605384583627,-0.10007324462088502,-0.0122892618903519,0.23869561799801886,2.220446049250313e-16,0.0004397785401148561,0.9995421136428808,0.002016864441511192,0.0,-7.167921169659643e-05,0.0,0.0017110343443770732,0.3154232127857733,0.9999871640323958,6.06916320310951e-06,10.0,7.0,5.0,0.0,0.0,0.8784473600058307,0.4966138922220945,0.015594240763579625,0.0,0.0,0.0,0.0,7.0,0.9900508671315199,2,True
12,D12,Neighbour interaction only on slow,neighbour_assignment,MACS0416,MACS J0416,-0.007357518094815856,0.12462004892718678,-6.666707764107905e-05,0.13639451376343978,0.18434464068878265,0.06199306505421838,-0.10028373496693223,-0.012171805845373711,0.23803838493768126,2.220446049250313e-16,0.00012391529500454043,0.9996002045975113,0.0023425414943901543,0.0,-0.00038754245680691206,0.0,0.0021898215972120483,0.14321707259944835,0.9999941675501978,3.4395891793072403e-06,8.0,7.0,5.0,0.0,0.0,0.9242853461588615,0.49524138568519616,0.022274552560427097,0.0,0.0,0.0,0.0,7.0,0.9299890656267196,2,True
13,D13,Neighbour interaction equally on both,neighbour_assignment,MACS0416,MACS J0416,-0.0053962419308731515,0.1271827967556695,-9.723153466254281e-05,0.1386525882329011,0.1845244413674295,0.062172246086622904,-0.10029036583206605,-0.012138957224637564,0.2397875019814819,2.220446049250313e-16,0.00034637423228986257,0.9981385684261699,0.0016024964468299952,0.0,-0.0001650835195215899,0.0,0.001922467095489417,0.23338380294143002,0.9999915996169744,4.0630434108890776e-06,10.0,7.0,4.0,0.0,0.0,0.8502338439425559,0.4960526086695107,0.01831350314355673,0.0,0.0,0.0,0.0,7.0,0.9700035099315861,2,True
14,D14,Layer update order reversed,ordering,MACS0416,MACS J0416,-0.0029104610006197734,0.12485460107031318,-0.00014876357384523898,0.136362381531045,0.18483781853830172,0.06234070645523208,-0.10033400875652733,-0.011783067938448159,0.2385184260783717,2.220446049250313e-16,0.0002608271254529505,0.9992794408451459,0.0030149299695532844,0.0,-0.000250630626358502,0.0,0.0017724462870260089,0.2803426984463141,0.9999878180829198,6.221934617838543e-06,11.0,7.0,3.0,0.0,0.0,0.6903636686732463,0.49645749319871696,0.01631773295907224,0.0,0.0,0.0,0.0,7.0,0.998145753501943,2,True
15,D15,Timescales forced equal,timescale,MACS0416,MACS J0416,-0.0009799609816620485,0.12524138015987132,-0.00018084925393451904,0.1366099723670073,0.18492388639940935,0.062468281070775726,-0.10033110695804291,-0.011833442454805625,0.23878130700904876,2.220446049250313e-16,0.0002642330776263702,0.9997551562483802,0.003352153985763019,0.0,-0.0002472246741850823,0.0,0.001751117108943863,0.28940652131991407,0.9999869612129064,6.516252021742004e-06,10.0,7.0,5.0,0.0,0.0,0.6952459083316888,0.49649849981797023,0.016089647413454644,0.0,0.0,0.0,0.0,7.0,0.9928034615003106,2,True
1,D1,Full A8 (control),control,MACS1149,MACS J1149,0.18666709684911564,0.013391150866469824,0.08312497653517908,0.017081335679517078,0.09259787588125538,0.10921168445507813,-0.032899710677393335,-0.0851585419796163,0.23836072406265885,2.220446049250313e-16,0.0036327052563755076,0.9991147890179899,0.002657023088896643,0.0,-0.004027947956136282,0.0,0.0017698384949303362,0.2812823626489204,0.9999800996884411,1.041677829059783e-05,11.0,4.0,4.0,0.0,0.0,0.7632579447931696,0.4944143178653349,0.02790992524963698,0.0,0.0,0.0,0.0,4.0,0.9950458777992539,2,True
2,D2,Fast removed (slow only),single_layer,MACS1149,MACS J1149,0.22559159938061585,-0.009324746659993563,0.10250255672939305,0.007780037122405722,0.08708467459240787,0.11475964079645619,-0.03247839685323947,-0.09173234044200246,0.2367023159749806,2.220446049250313e-16,0.0006849417064922455,0.9999723898328502,0.0015355340699280734,0.0,-0.006975711506019544,0.0,0.0,0.0,1.0,1.2658490090568387e-16,10.0,4.0,5.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,4.0,0.9849729719804391,1,True
