family_code,family_name,is_wrong,quantity_name,value,log_abs,nearest_constant,nearest_constant_value,log10_distance_to_constant,factor_to_constant,is_alpha_or_3alpha
E4,Coupled Oscillator,False,max_cons_err_Abell370,2.220446049250313e-16,-15.653559774527022,alpha_fs/2,0.0036486762846419008,13.215695108423292,6.085620855422746e-14,False
E5,Energy Minimisation Evolution,False,median_pearson_kappa_over_rms_kappa,0.5893573174705204,-0.22962131989133205,1/e,0.36787944117144233,0.20467316201191976,1.6020392865494844,False
E5,Energy Minimisation Evolution,False,median_coherence_gain_over_memory,68573754592.75042,10.836157928877256,1/e,0.36787944117144233,11.270452410780507,186402791018.68344,False
E5,Energy Minimisation Evolution,False,median_correlation_length_over_grid,0.01171875,-1.9311187105921872,2*alpha_fs,0.014594705138567603,0.09531403581641952,0.8029453071328124,False
E5,Energy Minimisation Evolution,False,median_relaxation_time_over_steps,0.05,-1.3010299956639813,3*alpha_fs,0.021892057707851405,0.3586834200561052,2.2839333180666666,True
E5,Energy Minimisation Evolution,False,DT_over_relaxation_time,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
E5,Energy Minimisation Evolution,False,K_over_omega,5.0,0.6989700043360189,1/e,0.36787944117144233,1.1332644862392707,13.591409142295225,False
E5,Energy Minimisation Evolution,False,K_times_DT,0.1,-1.0,1/pi,0.3183098861837907,0.5028501273058662,0.3141592653589793,False
E5,Energy Minimisation Evolution,False,gamma_over_omega,2.5,0.3979400086720376,1/e,0.36787944117144233,0.8322344905752894,6.7957045711476125,False
E5,Energy Minimisation Evolution,False,gamma_times_DT,0.05,-1.3010299956639813,3*alpha_fs,0.021892057707851405,0.3586834200561052,2.2839333180666666,True
E5,Energy Minimisation Evolution,False,omega_times_DT,0.020000000000000004,-1.6989700043360187,3*alpha_fs,0.021892057707851405,0.03925658861593237,0.9135733272266667,True
E5,Energy Minimisation Evolution,False,K_over_gamma,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E5,Energy Minimisation Evolution,False,ST_over_grid,2.0,0.3010299956639812,1/e,0.36787944117144233,0.735324477567233,5.43656365691809,False
E5,Energy Minimisation Evolution,False,median_activity_over_DT,0.01985013441560338,-1.7022365480566757,3*alpha_fs,0.021892057707851405,0.04252313233658921,0.9067276671979672,True
