candidate_id,candidate_label,family,cluster_id,cluster_label,metric_group,cmp_finite_pixels,cmp_rms_error,cmp_mean_abs_error,cmp_median_abs_error,cmp_max_abs_error,cmp_mean_relative_error_percent,cmp_median_relative_error_percent,cmp_pearson_correlation,cmp_predicted_min,cmp_predicted_max,cmp_predicted_mean,cmp_observed_min,cmp_observed_max,cmp_observed_mean,cmp_predicted_dynamic_range,cmp_observed_dynamic_range,cmp_predicted_peak_index,cmp_observed_peak_index,cmp_peak_location_distance_pixels,cmp_ssim,pipeline_runtime_seconds,max_conservation_error
4,|gamma| (from gamma.fits),direct,Abell2744,Abell 2744,comparison_gamma,4096,0.533527570806922,0.1343166777212893,0.07041399565995327,4.720764519546584,206.22792896467143,100.0,-0.027917431819544633,0.0,4.739920797416252,0.0603946822473677,0.0010240572737529874,0.4387801225358414,0.07598132846631889,4.739920797416252,0.43775606526208843,"[19, 18]","[33, 33]",20.518284528683193,0.06137909961319566,0.009484275011345744,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS0416,MACS J0416,comparison_kappa,25,0.5807003077102626,0.5698305641043754,0.5739773660898209,0.7863929271697998,2000000000000846.0,508.7558765362149,nan,-0.5,-0.5,-0.5,-0.167955681681633,0.2863929271697998,0.06983056410437545,0.0,0.4543486088514328,"[20, 0]","[32, 32]",34.17601498127012,-0.004839926989065742,0.009479566011577845,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS0416,MACS J0416,comparison_gamma1,4096,0.5283239130614914,0.10859665640499842,0.040885475360684834,4.833908030696694,454.38284642914016,100.0,0.0009535963296488321,-4.739950179478631,4.739950179478631,1.6940658945086007e-21,-0.5153349921150346,0.3970712721347809,-0.010922311339233118,9.479900358957263,0.9124062642498155,"[41, 17]","[29, 32]",19.209372712298546,0.06437370682242588,0.009479566011577845,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS0416,MACS J0416,comparison_gamma2,4096,0.1629866741437377,0.05499994892734304,0.04051517331529231,4.862489804506489,256.147745729969,100.0,-2.3988694894313567e-05,-4.7398069107218905,4.739895480476869,4.336808689942018e-19,-0.3220425773234601,0.4376878175695812,0.007521701997983666,9.47970239119876,0.7597303948930413,"[18, 18]","[29, 33]",18.601075237738275,0.42208086102617304,0.009479566011577845,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS0416,MACS J0416,comparison_gamma,4096,0.5445091301509071,0.14377205558845213,0.07641509266954585,4.738095642597343,250.6196753590587,100.0,-0.010059340795279367,0.0,4.739952681078214,0.06271334879137187,0.0,0.5607741560817849,0.0834989090779363,4.739952681078214,0.5607741560817849,"[36, 17]","[29, 32]",16.55294535724685,0.06007345121093376,0.009479566011577845,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS1149,MACS J1149,comparison_kappa,25,0.5176523609073103,0.5092472227693846,0.48785638328020764,0.7149682492017746,2401.878235504037,654.0323492207526,nan,-0.5,-0.5,-0.5,-0.1546057164669037,0.2149682492017746,0.009247222769384602,0.0,0.3695739656686783,"[20, 0]","[33, 32]",34.539832078341085,-0.0009367790210695901,0.009470276068896055,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS1149,MACS J1149,comparison_gamma1,4096,0.5324965589213122,0.12667195785544427,0.058028751984238625,4.909889081238466,176.01137626054447,100.0,-0.007389355136878369,-4.739939609279955,4.739939609279955,2.456395547037471e-20,-0.35520619153976446,1.4502143396271567,-0.03444096246959224,9.47987921855991,1.8054205311669211,"[41, 17]","[32, 33]",18.35755975068582,0.04237900947764006,0.009470276068896055,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS1149,MACS J1149,comparison_gamma2,4096,0.16988677778094696,0.06556109963264921,0.04902230780423846,4.808694988672593,108.69386577521249,100.0,-0.023956502647806455,-4.739937414199484,4.737482737067723,0.0,-0.471298966818654,0.2979532480239868,0.0010645807427233653,9.477420151267207,0.7692522148426408,"[43, 18]","[32, 33]",18.601075237738275,0.40494221675781783,0.009470276068896055,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,MACS1149,MACS J1149,comparison_gamma,4096,0.5442860404291994,0.1651589293288042,0.09411593420164921,4.698533537362693,153.1598327849188,100.0,0.03138788964598214,0.0,4.7399538079034516,0.06273569263351636,0.003379303263500333,1.5389487716346064,0.10618757622865749,4.7399538079034516,1.535569468371106,"[25, 17]","[32, 33]",17.46424919657298,0.06320861574017096,0.009470276068896055,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,AbellS1063,Abell S1063,comparison_kappa,25,0.5454082918500109,0.539740184038759,0.545792244374752,0.722885474562645,1661.0089090055544,802.2219894889561,nan,-0.5,-0.5,-0.5,-0.08533000200986862,0.22288547456264496,0.03974018403875906,0.0,0.3082154765725136,"[20, 0]","[33, 31]",33.61547262794322,-0.005570453705823736,0.009471434983424842,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,AbellS1063,Abell S1063,comparison_gamma1,4096,0.537655214039776,0.10072741774477996,0.03131708316504955,4.836538587848676,307.44452475919263,100.0,-0.015233644116034988,-4.739862340113029,4.739862340113029,1.2197274440461925e-19,-0.25548869371414185,0.30773400255702005,-0.0028520251225155105,9.479724680226058,0.563222696271162,"[26, 17]","[33, 32]",16.55294535724685,0.062383756007778964,0.009471434983424842,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,AbellS1063,Abell S1063,comparison_gamma2,4096,0.15953398675281139,0.04725726719270913,0.03361161984503269,4.8068016279854,127.70345605038494,100.0,-0.005378858069281789,-4.739654359559549,4.731926010264964,0.0,-0.20429740846157074,0.31596895910444694,0.013527305282462342,9.471580369824512,0.5202663675660177,"[43, 18]","[30, 33]",19.849433241279208,0.4100111156852895,0.009471434983424842,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,AbellS1063,Abell S1063,comparison_gamma,4096,0.5519066500168066,0.1300828728482985,0.06324062884533448,4.728258816537696,206.5526373946792,100.0,0.00935659034304234,0.0,4.739906820480961,0.06524755956538127,0.0,0.3626261450130663,0.0672595968597144,4.739906820480961,0.3626261450130663,"[26, 17]","[33, 32]",16.55294535724685,0.0636094680616798,0.009471434983424842,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell370,Abell 370,comparison_kappa,25,0.5612759749148191,0.5589670360285329,0.5511489696800709,0.7142609357833862,8293.128235899705,1077.5367971777828,nan,-0.5,-0.5,-0.5,-0.010179196913091037,0.21426093578338623,0.058967036028533,0.0,0.22444013269647728,"[20, 0]","[32, 32]",34.17601498127012,-0.018607017276945234,0.009507284965366125,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell370,Abell 370,comparison_gamma1,4096,0.5299066036062995,0.11784489998824309,0.04982871003448963,4.917353415945541,583.4159966869324,100.0,-0.010505805898833336,-4.739574093574093,4.739574093574093,1.3552527156068805e-19,-0.4928266704082489,0.3075925409793854,-0.011296329791970056,9.479148187148185,0.8004192113876343,"[38, 17]","[29, 0]",19.235384061671343,0.0610876415623982,0.009507284965366125,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell370,Abell 370,comparison_gamma2,4096,0.16854078195009722,0.06490816070286626,0.04895239137113094,4.799061402984632,119.7821931378547,100.0,-0.01681169634573349,-4.739380856350522,4.739503304351494,0.0,-0.32441097497940063,0.2763311266899109,0.0182991790713386,9.478884160702016,0.6007421016693115,"[20, 18]","[31, 0]",21.095023109728988,0.360455243909675,0.009507284965366125,2.220446049250313e-16
4,|gamma| (from gamma.fits),direct,Abell370,Abell 370,comparison_gamma,4096,0.5445746649045352,0.1570203828792755,0.08939419582046888,4.702959844008657,173.71781835248655,100.0,-0.007695161809807466,0.0,4.739743728756281,0.0631817099969759,0.0014949318720027804,0.5116289854049683,0.09705151540649613,4.739743728756281,0.5101340535329655,"[43, 17]","[29, 0]",22.02271554554524,0.05815603411579535,0.009507284965366125,2.220446049250313e-16
5,sqrt(gamma1^2 + gamma2^2),direct,Abell2744,Abell 2744,comparison_kappa,25,0.5567551329841356,0.5512439729208275,0.5431494581557457,0.7083742767572403,1837.9839668269924,921.5588760259058,nan,-0.5,-0.5,-0.5,-0.13970666074208693,0.2083742767572403,0.051243972920827476,0.0,0.3480809374993272,"[20, 0]","[33, 32]",34.539832078341085,-0.007204360225312317,0.009489364922046661,2.220446049250313e-16
5,sqrt(gamma1^2 + gamma2^2),direct,Abell2744,Abell 2744,comparison_gamma1,4096,0.516355128753822,0.10358022723118476,0.040294246393300585,4.858925921959472,551.3423436645617,100.0,0.007426937720872448,-4.739886988784767,4.739886988784767,5.522654816098038e-19,-0.3198103600506129,0.3131638814442414,-0.013846408134187567,9.479773977569534,0.6329742414948543,"[20, 17]","[32, 33]",20.0,0.06636956283372164,0.009489364922046661,2.220446049250313e-16
