cluster_id,candidate_id,f_z,F_Dz,correlation_Dz_kappa_gr
MACS0416,PL6_PM1_PS1,0.291828173667245,0.36783461470483925,0.0137357548186976
MACS0416,PL6_PM1_PS2,0.28049825500866926,0.39513234829524974,0.001147628809964801
MACS0416,PL6_PM2_PS1,0.2795685569332274,0.325896474779465,0.013051559131388925
MACS0416,PL6_PM2_PS2,0.2595495967295438,0.35287501865951443,-0.0006990278280383515
MACS1149,PL1_PM1_PS1,0.22351068171710653,0.2967547632089589,-0.026000310589065895
MACS1149,PL1_PM1_PS2,0.21650068711944226,0.30393456677816505,-0.02852145801147114
MACS1149,PL1_PM2_PS1,0.23817745935520798,0.29912442439859266,-0.02835870549176751
MACS1149,PL1_PM2_PS2,0.23186693507942008,0.3173486813179173,-0.03200179241480491
MACS1149,PL2_PM1_PS1,0.29081355898441746,0.40022276093225473,-0.020746373797022908
MACS1149,PL2_PM1_PS2,0.2825255638196574,0.4408232551793899,-0.019836006574492197
MACS1149,PL2_PM2_PS1,0.28115941566855557,0.35998521678592005,-0.016255046084351396
MACS1149,PL2_PM2_PS2,0.2607963595062931,0.39368116809677095,-0.021823460138833642
MACS1149,PL3_PM1_PS1,0.2946780641854943,0.4011608095409771,-0.004820412489468715
MACS1149,PL3_PM1_PS2,0.2850261340470464,0.44114729160084426,-0.017026366323855745
MACS1149,PL3_PM2_PS1,0.285148807139408,0.36130443136796564,-0.005809003626293374
MACS1149,PL3_PM2_PS2,0.2654766717133388,0.3968210785467086,-0.018817813606340748
MACS1149,PL4_PM1_PS1,0.2846445777061848,0.39819352002241126,-0.022819578853334677
MACS1149,PL4_PM1_PS2,0.27667867598664075,0.4362997821215026,-0.022814432719734382
MACS1149,PL4_PM2_PS1,0.2720436216109382,0.3541030073782502,-0.024780174114256422
MACS1149,PL4_PM2_PS2,0.2513427212555503,0.37977680266612823,-0.026399015704425946
MACS1149,PL5_PM1_PS1,0.3004200475686313,0.403320758672684,-0.027110794037617438
MACS1149,PL5_PM1_PS2,0.2902617394162009,0.4330217245922666,-0.018812898684979092
