cluster_id,candidate_id,D_rms,C_rms,Cx_rms,Cy_rms,Cz_rms
Abell370,PL2_PM1_PS1,3.5328711929687164e-05,4.815490218627176e-05,2.79994543054135e-05,2.834356839279057e-05,2.7047500696583146e-05
Abell370,PL2_PM1_PS2,3.269914981197978e-05,4.995833649109873e-05,2.8951520188394934e-05,2.9332222356806287e-05,2.8235891970144687e-05
Abell370,PL2_PM2_PS1,2.8162051501833606e-05,3.935006745725103e-05,2.2732996022339955e-05,2.3074350502369922e-05,2.2343076100489462e-05
Abell370,PL2_PM2_PS2,2.1766448671185872e-05,3.51431374802844e-05,2.015028841063028e-05,2.0495360170735246e-05,2.022241826286927e-05
Abell370,PL3_PM1_PS1,3.532600190068871e-05,4.808916203370464e-05,2.8014741254326457e-05,2.8340245564382183e-05,2.691787991108428e-05
Abell370,PL3_PM1_PS2,3.249593239039276e-05,4.996523874336485e-05,2.8987773713849905e-05,2.935738532585437e-05,2.818471189537673e-05
Abell370,PL3_PM2_PS1,2.8240391641645232e-05,3.9369495488038005e-05,2.2799266450700553e-05,2.311955852952372e-05,2.2262898232093056e-05
Abell370,PL3_PM2_PS2,2.1504626156692735e-05,3.497217213491072e-05,2.0097155013276352e-05,2.0430097345283512e-05,2.0044158916462583e-05
Abell370,PL4_PM1_PS1,3.521445738711922e-05,4.8225676375346e-05,2.7945009526082093e-05,2.8310498744392413e-05,2.7263674831000714e-05
Abell370,PL4_PM1_PS2,3.3116224292737404e-05,4.977127090056868e-05,2.8833214945716486e-05,2.912482184091343e-05,2.824127963968628e-05
Abell370,PL4_PM2_PS1,2.7997961230322294e-05,3.9368095951273084e-05,2.2656830819795673e-05,2.301075362285869e-05,2.251710935577426e-05
Abell370,PL4_PM2_PS2,2.2519385608278675e-05,3.5600314713069296e-05,2.0342755080456134e-05,2.0691267794073292e-05,2.0625861448194103e-05
Abell370,PL5_PM1_PS1,3.521737422161918e-05,4.7937121661293526e-05,2.7998498410250993e-05,2.8269997984430247e-05,2.6736845997632916e-05
Abell370,PL5_PM1_PS2,3.25691378709348e-05,4.932278411598694e-05,2.8728873876848312e-05,2.8968446475590614e-05,2.771674489385863e-05
Abell370,PL5_PM2_PS1,2.8308824532816526e-05,3.930776676680705e-05,2.28985327943786e-05,2.3104988700274993e-05,2.2066200878688512e-05
Abell370,PL5_PM2_PS2,2.2208445244484004e-05,3.4961286868534725e-05,2.0246420253080042e-05,2.045182504069568e-05,1.9851873940372036e-05
Abell370,PL6_PM1_PS1,3.5328711929687164e-05,4.815490218627176e-05,2.79994543054135e-05,2.834356839279057e-05,2.7047500696583146e-05
Abell370,PL6_PM1_PS2,3.269914981197978e-05,4.995833649109873e-05,2.8951520188394934e-05,2.9332222356806287e-05,2.8235891970144687e-05
Abell370,PL6_PM2_PS1,2.8162051501833606e-05,3.935006745725103e-05,2.2732996022339955e-05,2.3074350502369922e-05,2.2343076100489462e-05
Abell370,PL6_PM2_PS2,2.1766448671185872e-05,3.51431374802844e-05,2.015028841063028e-05,2.0495360170735246e-05,2.022241826286927e-05
