cluster_id,candidate_id,response_energy,f_irr_3d,f_sol_3d,f_irr_3d_cropped,f_sol_3d_cropped,f_z,F_Dz,D_rms,C_rms,helicity_total
AbellS1063,PL3_PM1_PS1,6.997162344644768e-05,0.48985936396493546,0.5101406360350645,0.48814406840542823,0.5118559315945718,0.29533893840064734,0.40517341025183057,3.380922338282432e-05,4.731315370145673e-05,7.77070474658414e-08
AbellS1063,PL3_PM1_PS2,6.894271876705868e-05,0.4822965404445006,0.5177034595554995,0.47271920446479665,0.5272807955352034,0.28573119718848883,0.44225188365946383,3.0875399669029586e-05,4.888486983862577e-05,-2.070669290857702e-08
AbellS1063,PL3_PM2_PS1,4.676141034039981e-05,0.5014393590523486,0.4985606409476514,0.4997914586395521,0.5002085413604479,0.2854531726961127,0.364420293159893,2.6964798497999053e-05,3.8771283646034034e-05,-3.495570021618368e-08
AbellS1063,PL3_PM2_PS2,3.40242344311885e-05,0.5103407580166486,0.48965924198335153,0.5018604777783907,0.4981395222216093,0.26474406929411437,0.39758554051244016,2.0505968207778875e-05,3.435743955393738e-05,1.1808556517030818e-08
AbellS1063,PL4_PM1_PS1,6.974605418875154e-05,0.4883379304979132,0.5116620695020868,0.4857474320478529,0.5142525679521472,0.28318875148111494,0.40069155523641264,3.355083301808968e-05,4.736312479209946e-05,-2.544732184206496e-07
AbellS1063,PL4_PM1_PS2,6.86771889498829e-05,0.48550684685165535,0.5144931531483445,0.4757197959625194,0.5242802040374807,0.2764459250213051,0.4370059139990678,3.1225769200954654e-05,4.865761644985926e-05,-1.226671255850143e-07
AbellS1063,PL4_PM2_PS1,4.6510152706730365e-05,0.5034337364972563,0.4965662635027437,0.5012141979255139,0.4987858020744861,0.2722932667923452,0.3549630552756058,2.674401937880136e-05,3.874379147452233e-05,-1.2029854424391793e-07
AbellS1063,PL4_PM2_PS2,3.502355321045386e-05,0.5148929481462671,0.4851070518537329,0.5065416558125472,0.4934583441874528,0.25300351326426435,0.38176070631007747,2.1121732802079796e-05,3.469266560603531e-05,-6.660941891802605e-08
AbellS1063,PL5_PM1_PS1,6.931507374319162e-05,0.4926659612246531,0.5073340387753469,0.49104424040376826,0.5089557595962317,0.3002210006185427,0.40488470941906746,3.366273973757697e-05,4.701713214218193e-05,5.022106208401761e-08
AbellS1063,PL5_PM1_PS2,6.802414849364031e-05,0.4927381093195196,0.5072618906804803,0.4830120138124027,0.5169879861875972,0.29100431610954647,0.4339164496846296,3.073218336962537e-05,4.8350473044558754e-05,7.71801688822997e-08
AbellS1063,PL5_PM2_PS1,4.669669239689164e-05,0.5025255426462335,0.49747445735376655,0.5006674319980299,0.4993325680019701,0.28914201832674313,0.36462421038814063,2.7002155340582974e-05,3.86365657806722e-05,-2.41403907299518e-08
AbellS1063,PL5_PM2_PS2,3.4323367424138745e-05,0.5165972518497144,0.4834027481502855,0.5077645429212908,0.49223545707870914,0.2742296151328158,0.38670713355270186,2.0753437543332623e-05,3.427332154273696e-05,5.485390533968403e-10
AbellS1063,PL6_PM1_PS1,7.000705207494857e-05,0.4896827567678136,0.5103172432321864,0.48777655143572446,0.5122234485642755,0.2915389568532943,0.40237494155874876,3.3766408254394634e-05,4.73803194813377e-05,7.036669327588338e-08
AbellS1063,PL6_PM1_PS2,6.890571847699081e-05,0.48259940121600853,0.5174005987839915,0.4729451315376574,0.5270548684623426,0.28217988268915517,0.44135592998326006,3.096331717203098e-05,4.8862772343391866e-05,-5.124275252188617e-08
AbellS1063,PL6_PM2_PS1,4.668887656765489e-05,0.5022678817149686,0.49773211828503144,0.5004383786383861,0.49956162136161386,0.28095030288672224,0.3612235196663968,2.689896567644474e-05,3.877593736502831e-05,-6.437389791321276e-08
AbellS1063,PL6_PM2_PS2,3.423518563242531e-05,0.511156483375369,0.4888435166246309,0.5027146969112143,0.49728530308878566,0.26043011473613037,0.39486489350773996,2.0639625599127342e-05,3.444407666566162e-05,-2.0274436552215953e-08
Abell370,PL1_PM1_PS1,7.224901893095192e-05,0.495401538133966,0.5045984618660341,0.4905838964899214,0.5094161035100786,0.2215893296691096,0.2395918140573322,3.3644316042202295e-05,4.854051906429676e-05,6.280277648342013e-08
Abell370,PL1_PM1_PS2,7.310396672367269e-05,0.5178973458879766,0.4821026541120234,0.5114708800892551,0.48852911991074477,0.21320143497521235,0.24930073427541097,3.400863764273049e-05,4.870463424477874e-05,3.451526439330819e-08
Abell370,PL1_PM2_PS1,5.0870239852263084e-05,0.536526879532374,0.4634731204676259,0.5297273049108014,0.47027269508919856,0.23899618923216068,0.24093279149001115,2.800187012867878e-05,4.011051242561202e-05,-2.687745922501771e-08
Abell370,PL1_PM2_PS2,4.521557312255807e-05,0.5553015634925794,0.4446984365074206,0.5459100679478368,0.45408993205216314,0.22810706653185656,0.26176385192034685,2.6457722810658208e-05,3.8242419148554546e-05,-1.0534115109575227e-09
Abell370,PL2_PM1_PS1,7.458044863927689e-05,0.5022003725775684,0.4977996274224316,0.4994048683573869,0.5005951316426132,0.2845237456515226,0.34858831861339395,3.5328711929687164e-05,4.815490218627176e-05,3.29928226802751e-07
Abell370,PL2_PM1_PS2,7.40849331008217e-05,0.4897609458907011,0.5102390541092988,0.48040332708679695,0.5195966729132031,0.27159178940797285,0.37249437618599207,3.269914981197978e-05,4.995833649109873e-05,5.117192630678304e-07
Abell370,PL2_PM2_PS1,4.971647102033615e-05,0.5169106746679129,0.48308932533208704,0.5145029644262855,0.48549703557371443,0.27100504139118264,0.30500854880798683,2.8162051501833606e-05,3.935006745725103e-05,1.884697113011006e-07
Abell370,PL2_PM2_PS2,3.668032555629902e-05,0.5181278958541903,0.4818721041458097,0.5098183466437635,0.4901816533562367,0.249470941497854,0.3280493880328776,2.1766448671185872e-05,3.51431374802844e-05,2.2909418094674523e-07
Abell370,PL3_PM1_PS1,7.448193992404866e-05,0.5031177619081059,0.4968822380918941,0.5004952850509848,0.49950471494901527,0.2902131759272423,0.34852813383710696,3.532600190068871e-05,4.808916203370464e-05,4.415822405445295e-07
Abell370,PL3_PM1_PS2,7.39966247125314e-05,0.48979683401116025,0.5102031659888397,0.4801025442429976,0.5198974557570025,0.2766805016880825,0.3723472366189829,3.249593239039276e-05,4.996523874336485e-05,5.151024591761452e-07
Abell370,PL3_PM2_PS1,4.981149195714908e-05,0.5156712705658715,0.4843287294341286,0.5132198864711485,0.48678011352885164,0.27733665320820516,0.3083491440004436,2.8240391641645232e-05,3.9369495488038005e-05,2.2393527795281947e-07
Abell370,PL3_PM2_PS2,3.6207724392157296e-05,0.5170303646980648,0.4829696353019351,0.5083905173155034,0.49160948268449656,0.2554115399881205,0.33216449945537857,2.1504626156692735e-05,3.497217213491072e-05,2.3753412127642722e-07
Abell370,PL4_PM1_PS1,7.452771335893224e-05,0.500619109728807,0.499380890271193,0.49795903627526783,0.5020409637247323,0.27293143514973556,0.3418254077488371,3.521445738711922e-05,4.8225676375346e-05,-2.2720020721842974e-08
Abell370,PL4_PM1_PS2,7.402675662974878e-05,0.49238987956637764,0.5076101204336224,0.4837215679282067,0.5162784320717932,0.2609007278225877,0.3656924743690214,3.3116224292737404e-05,4.977127090056868e-05,3.394501859775236e-07
Abell370,PL4_PM2_PS1,4.963746752205803e-05,0.5192398553962181,0.480760144603782,0.5168615523217353,0.4831384476782647,0.2599588608447704,0.29644618933905303,2.7997961230322294e-05,3.9368095951273084e-05,7.843823401683333e-09
Abell370,PL4_PM2_PS2,3.8056028357880486e-05,0.5237862666839592,0.47621373331604083,0.515948259700518,0.484051740299482,0.2396464419797565,0.31265380595072384,2.2519385608278675e-05,3.5600314713069296e-05,1.512641461879194e-07
